A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_vb_b40_w050_f025_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3224       0.3264      -0.0041
eff overall (pt>0.9)             0.8022       0.8136      -0.0114
eff vxy [0,1)                    0.8347       0.8473      -0.0126
eff vxy [1,5)                    0.7880       0.7731      +0.0148
eff vxy [5,10)                   0.7145       0.6530      +0.0615
eff vxy [10,30)                  0.7026       0.6291      +0.0735
eff dxy [0,1)                    0.8289       0.8342      -0.0053
eff dxy [1,5)                    0.5451       0.4989      +0.0461
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9100       0.9242      -0.0142
eff transition 1.1-1.7           0.8603       0.8826      -0.0223
eff endcap >1.7                  0.7507       0.7556      -0.0049
dup rate (pt sums)               0.0595       0.0499      +0.0096
dup rate (pt>0.9)                0.0615       0.0513      +0.0102
dup rate barrel                  0.0134       0.0097      +0.0036
dup rate transition              0.0234       0.0130      +0.0104
dup rate endcap                  0.0976       0.0846      +0.0130
fake rate (pt sums)              0.0499       0.0451      +0.0048
fake rate (pt>0.9)               0.0515       0.0455      +0.0060
fake rate barrel                 0.0521       0.0437      +0.0084
fake rate transition             0.0720       0.0459      +0.0261
fake rate endcap                 0.0454       0.0463      -0.0010
mean nhitOT                       6.507        6.514       -0.007
mean nhitOT barrel               10.040       10.151       -0.110
mean nhitOT transition            9.982       10.010       -0.027
mean nhitOT endcap                3.664        3.559       +0.105
n TC (fr denom)                  614541       610581        +3960
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_vb_b40_w050_f025.json
