A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_vb_b5_w050_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3224       0.3264      -0.0040
eff overall (pt>0.9)             0.8023       0.8136      -0.0113
eff vxy [0,1)                    0.8348       0.8473      -0.0125
eff vxy [1,5)                    0.7873       0.7731      +0.0141
eff vxy [5,10)                   0.7145       0.6530      +0.0615
eff vxy [10,30)                  0.7034       0.6291      +0.0743
eff dxy [0,1)                    0.8290       0.8342      -0.0052
eff dxy [1,5)                    0.5483       0.4989      +0.0494
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9100       0.9242      -0.0142
eff transition 1.1-1.7           0.8611       0.8826      -0.0215
eff endcap >1.7                  0.7506       0.7556      -0.0050
dup rate (pt sums)               0.0619       0.0499      +0.0119
dup rate (pt>0.9)                0.0642       0.0513      +0.0129
dup rate barrel                  0.0156       0.0097      +0.0059
dup rate transition              0.0282       0.0130      +0.0151
dup rate endcap                  0.1001       0.0846      +0.0155
fake rate (pt sums)              0.0516       0.0451      +0.0065
fake rate (pt>0.9)               0.0534       0.0455      +0.0079
fake rate barrel                 0.0548       0.0437      +0.0110
fake rate transition             0.0763       0.0459      +0.0304
fake rate endcap                 0.0461       0.0463      -0.0002
mean nhitOT                       6.521        6.514       +0.007
mean nhitOT barrel               10.042       10.151       -0.109
mean nhitOT transition            9.986       10.010       -0.024
mean nhitOT endcap                3.679        3.559       +0.120
n TC (fr denom)                  616454       610581        +5873
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_vb_b5_w050.json
