A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_vc_b10_w025_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3236       0.3264      -0.0028
eff overall (pt>0.9)             0.8057       0.8136      -0.0079
eff vxy [0,1)                    0.8385       0.8473      -0.0088
eff vxy [1,5)                    0.7915       0.7731      +0.0184
eff vxy [5,10)                   0.7224       0.6530      +0.0694
eff vxy [10,30)                  0.7075       0.6291      +0.0784
eff dxy [0,1)                    0.8327       0.8342      -0.0015
eff dxy [1,5)                    0.5526       0.4989      +0.0536
eff dxy [5,10)                   0.2386       0.2281      +0.0105
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9159       0.9242      -0.0083
eff transition 1.1-1.7           0.8673       0.8826      -0.0153
eff endcap >1.7                  0.7507       0.7556      -0.0049
dup rate (pt sums)               0.0585       0.0499      +0.0086
dup rate (pt>0.9)                0.0605       0.0513      +0.0092
dup rate barrel                  0.0120       0.0097      +0.0023
dup rate transition              0.0221       0.0130      +0.0090
dup rate endcap                  0.0967       0.0846      +0.0121
fake rate (pt sums)              0.0466       0.0451      +0.0015
fake rate (pt>0.9)               0.0477       0.0455      +0.0022
fake rate barrel                 0.0464       0.0437      +0.0026
fake rate transition             0.0651       0.0459      +0.0192
fake rate endcap                 0.0435       0.0463      -0.0028
mean nhitOT                       6.467        6.514       -0.046
mean nhitOT barrel                9.993       10.151       -0.158
mean nhitOT transition            9.927       10.010       -0.083
mean nhitOT endcap                3.641        3.559       +0.081
n TC (fr denom)                  613612       610581        +3031
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_vc_b10_w025.json
