A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_ve_b40_w045_f025_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3245       0.3264      -0.0020
eff overall (pt>0.9)             0.8079       0.8136      -0.0056
eff vxy [0,1)                    0.8408       0.8473      -0.0066
eff vxy [1,5)                    0.7951       0.7731      +0.0219
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7100       0.6291      +0.0809
eff dxy [0,1)                    0.8351       0.8342      +0.0008
eff dxy [1,5)                    0.5579       0.4989      +0.0590
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9182       0.9242      -0.0060
eff transition 1.1-1.7           0.8706       0.8826      -0.0120
eff endcap >1.7                  0.7526       0.7556      -0.0030
dup rate (pt sums)               0.0597       0.0499      +0.0098
dup rate (pt>0.9)                0.0618       0.0513      +0.0105
dup rate barrel                  0.0134       0.0097      +0.0036
dup rate transition              0.0235       0.0130      +0.0105
dup rate endcap                  0.0979       0.0846      +0.0134
fake rate (pt sums)              0.0464       0.0451      +0.0013
fake rate (pt>0.9)               0.0474       0.0455      +0.0019
fake rate barrel                 0.0461       0.0437      +0.0024
fake rate transition             0.0641       0.0459      +0.0183
fake rate endcap                 0.0434       0.0463      -0.0030
mean nhitOT                       6.458        6.514       -0.055
mean nhitOT barrel                9.963       10.151       -0.188
mean nhitOT transition            9.916       10.010       -0.093
mean nhitOT endcap                3.641        3.559       +0.081
n TC (fr denom)                  614630       610581        +4049
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_ve_b40_w045_f025.json
