A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_ve_b80_w033_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3243       0.3264      -0.0021
eff overall (pt>0.9)             0.8076       0.8136      -0.0060
eff vxy [0,1)                    0.8406       0.8473      -0.0067
eff vxy [1,5)                    0.7908       0.7731      +0.0177
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7108       0.6291      +0.0817
eff dxy [0,1)                    0.8348       0.8342      +0.0005
eff dxy [1,5)                    0.5558       0.4989      +0.0569
eff dxy [5,10)                   0.2386       0.2281      +0.0105
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9178       0.9242      -0.0064
eff transition 1.1-1.7           0.8713       0.8826      -0.0113
eff endcap >1.7                  0.7518       0.7556      -0.0038
dup rate (pt sums)               0.0612       0.0499      +0.0113
dup rate (pt>0.9)                0.0635       0.0513      +0.0122
dup rate barrel                  0.0143       0.0097      +0.0046
dup rate transition              0.0273       0.0130      +0.0143
dup rate endcap                  0.0995       0.0846      +0.0150
fake rate (pt sums)              0.0472       0.0451      +0.0021
fake rate (pt>0.9)               0.0483       0.0455      +0.0028
fake rate barrel                 0.0472       0.0437      +0.0034
fake rate transition             0.0664       0.0459      +0.0205
fake rate endcap                 0.0437       0.0463      -0.0026
mean nhitOT                       6.460        6.514       -0.054
mean nhitOT barrel                9.960       10.151       -0.191
mean nhitOT transition            9.911       10.010       -0.099
mean nhitOT endcap                3.645        3.559       +0.085
n TC (fr denom)                  615327       610581        +4746
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/okretrain/ab_ve_b80_w033.json
