A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/transition/ab_w2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3218       0.3264      -0.0046
eff overall (pt>0.9)             0.8008       0.8136      -0.0128
eff vxy [0,1)                    0.8333       0.8473      -0.0140
eff vxy [1,5)                    0.7837       0.7731      +0.0106
eff vxy [5,10)                   0.6987       0.6530      +0.0457
eff vxy [10,30)                  0.6765       0.6291      +0.0474
eff dxy [0,1)                    0.8265       0.8342      -0.0077
eff dxy [1,5)                    0.5236       0.4989      +0.0247
eff dxy [5,10)                   0.2456       0.2281      +0.0175
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9088       0.9242      -0.0154
eff transition 1.1-1.7           0.8556       0.8826      -0.0270
eff endcap >1.7                  0.7505       0.7556      -0.0051
dup rate (pt sums)               0.0617       0.0499      +0.0118
dup rate (pt>0.9)                0.0641       0.0513      +0.0128
dup rate barrel                  0.0157       0.0097      +0.0059
dup rate transition              0.0252       0.0130      +0.0122
dup rate endcap                  0.1001       0.0846      +0.0155
fake rate (pt sums)              0.0485       0.0451      +0.0034
fake rate (pt>0.9)               0.0501       0.0455      +0.0046
fake rate barrel                 0.0553       0.0437      +0.0116
fake rate transition             0.0542       0.0459      +0.0083
fake rate endcap                 0.0462       0.0463      -0.0002
mean nhitOT                       6.487        6.514       -0.027
mean nhitOT barrel               10.044       10.151       -0.107
mean nhitOT transition            9.918       10.010       -0.091
mean nhitOT endcap                3.679        3.559       +0.120
n TC (fr denom)                  612504       610581        +1923
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/transition/ab_w2.json
