tag         effTr     fkTr    dupTr      eff     fake      dup   vxy1_5  vxy5_10 vxy10_30   dxy1_5  dxy5_10   effBar   effEnd    fkBar    fkEnd  verdict
base       0.8603   0.0765   0.0282   0.8017   0.0536   0.0643   0.7852   0.7129   0.6961   0.5418   0.2491   0.9091   0.7505   0.0553   0.0462  FAIL: fkTr<=0.0550(0.0765)
z1         0.8608   0.0608   0.0279   0.8018   0.0511   0.0643   0.7845   0.7098   0.6912   0.5386   0.2386   0.9091   0.7505   0.0553   0.0462  FAIL: fkTr<=0.0550(0.0608) vxy5_10>=0.7109(0.7098) vxy10_30>=0.6941(0.6912) dxy1_5>=0.5398(0.5386) dxy5_10>=0.2471(0.2386)
z2         0.8593   0.0547   0.0269   0.8015   0.0502   0.0642   0.7852   0.7035   0.6863   0.5322   0.2386   0.9090   0.7505   0.0553   0.0462  FAIL: effTr>=0.8603(0.8593) eff>=0.8017(0.8015) vxy5_10>=0.7109(0.7035) vxy10_30>=0.6941(0.6863) dxy1_5>=0.5398(0.5322) dxy5_10>=0.2471(0.2386)
z9         0.8606   0.0764   0.0283   0.8018   0.0536   0.0643   0.7852   0.7129   0.6961   0.5418   0.2491   0.9091   0.7505   0.0553   0.0462  FAIL: fkTr<=0.0550(0.0764)
v1         0.8608   0.0763   0.0306   0.8018   0.0536   0.0646   0.7852   0.7129   0.6961   0.5418   0.2491   0.9091   0.7505   0.0553   0.0462  FAIL: fkTr<=0.0550(0.0763) dup<=0.0643(0.0646)
v2         0.8613   0.0763   0.0325   0.8019   0.0536   0.0649   0.7852   0.7145   0.6961   0.5418   0.2491   0.9091   0.7505   0.0553   0.0462  FAIL: fkTr<=0.0550(0.0763) dup<=0.0643(0.0649)
v3         0.8606   0.0547   0.0313   0.8017   0.0501   0.0649   0.7852   0.7050   0.6863   0.5322   0.2386   0.9090   0.7505   0.0553   0.0462  FAIL: vxy5_10>=0.7109(0.7050) vxy10_30>=0.6941(0.6863) dxy1_5>=0.5398(0.5322) dxy5_10>=0.2471(0.2386) dup<=0.0643(0.0649)
f1         0.8586   0.0535   0.0306   0.8014   0.0500   0.0648   0.7845   0.7035   0.6855   0.5300   0.2386   0.9090   0.7505   0.0553   0.0462  FAIL: effTr>=0.8603(0.8586) eff>=0.8017(0.8014) vxy5_10>=0.7109(0.7035) vxy10_30>=0.6941(0.6855) dxy1_5>=0.5398(0.5300) dxy5_10>=0.2471(0.2386) dup<=0.0643(0.0648)
f2         0.8606   0.0498   0.0294   0.8017   0.0494   0.0647   0.7830   0.7050   0.6846   0.5311   0.2386   0.9090   0.7505   0.0553   0.0462  FAIL: vxy1_5>=0.7832(0.7830) vxy5_10>=0.7109(0.7050) vxy10_30>=0.6941(0.6846) dxy1_5>=0.5398(0.5311) dxy5_10>=0.2471(0.2386) dup<=0.0643(0.0647)
f3         0.8586   0.0485   0.0287   0.8014   0.0492   0.0646   0.7823   0.7035   0.6838   0.5290   0.2386   0.9090   0.7505   0.0553   0.0462  FAIL: effTr>=0.8603(0.8586) eff>=0.8017(0.8014) vxy1_5>=0.7832(0.7823) vxy5_10>=0.7109(0.7035) vxy10_30>=0.6941(0.6838) dxy1_5>=0.5398(0.5290) dxy5_10>=0.2471(0.2386) dup<=0.0643(0.0646)
f4         0.8601   0.0534   0.0300   0.8017   0.0499   0.0647   0.7845   0.7035   0.6822   0.5258   0.2386   0.9091   0.7505   0.0553   0.0462  FAIL: effTr>=0.8603(0.8601) vxy5_10>=0.7109(0.7035) vxy10_30>=0.6941(0.6822) dxy1_5>=0.5398(0.5258) dxy5_10>=0.2471(0.2386) dup<=0.0643(0.0647)
