[ab] g1 : -ZR 1.8 -ZM4 -0.5 -ZM4D 99 -ZBA 20
  chain TCs       total=297279 mean=990.9 (T5-class=289828 T4-class=7451; 0 accepted chains below 4 layers dropped by K10)
  M16 delivery    type-7 in-place upgrades of accepted chains=0 mean=0.0 (of 297279 accepted chain TCs) | extra type-5 TCs=0 mean=0.0
A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/transition/ab_g1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3222       0.3264      -0.0042
eff overall (pt>0.9)             0.8017       0.8136      -0.0119
eff vxy [0,1)                    0.8343       0.8473      -0.0131
eff vxy [1,5)                    0.7830       0.7731      +0.0099
eff vxy [5,10)                   0.7035       0.6530      +0.0505
eff vxy [10,30)                  0.6846       0.6291      +0.0556
eff dxy [0,1)                    0.8277       0.8342      -0.0065
eff dxy [1,5)                    0.5311       0.4989      +0.0322
eff dxy [5,10)                   0.2386       0.2281      +0.0105
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9090       0.9242      -0.0152
eff transition 1.1-1.7           0.8601       0.8826      -0.0225
eff endcap >1.7                  0.7505       0.7556      -0.0051
dup rate (pt sums)               0.0620       0.0499      +0.0121
dup rate (pt>0.9)                0.0644       0.0513      +0.0131
dup rate barrel                  0.0157       0.0097      +0.0059
dup rate transition              0.0274       0.0130      +0.0144
dup rate endcap                  0.1001       0.0846      +0.0155
fake rate (pt sums)              0.0478       0.0451      +0.0027
fake rate (pt>0.9)               0.0494       0.0455      +0.0039
fake rate barrel                 0.0553       0.0437      +0.0116
fake rate transition             0.0496       0.0459      +0.0037
fake rate endcap                 0.0462       0.0463      -0.0002
mean nhitOT                       6.498        6.514       -0.016
mean nhitOT barrel               10.044       10.151       -0.107
mean nhitOT transition            9.979       10.010       -0.031
mean nhitOT endcap                3.679        3.559       +0.120
n TC (fr denom)                  612668       610581        +2087
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/transition/ab_g1.json
