[ab] w4 : -ZIL 1 -ZR 2.8 -ZBA 20 -ZM4 -1.5
  chain TCs       total=298024 mean=993.4 (T5-class=288442 T4-class=9582; 0 accepted chains below 4 layers dropped by K10)
  M16 delivery    type-7 in-place upgrades of accepted chains=0 mean=0.0 (of 298024 accepted chain TCs) | extra type-5 TCs=0 mean=0.0
A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/transition/ab_w4_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3221       0.3264      -0.0043
eff overall (pt>0.9)             0.8013       0.8136      -0.0122
eff vxy [0,1)                    0.8339       0.8473      -0.0134
eff vxy [1,5)                    0.7845       0.7731      +0.0113
eff vxy [5,10)                   0.7003       0.6530      +0.0473
eff vxy [10,30)                  0.6765       0.6291      +0.0474
eff dxy [0,1)                    0.8271       0.8342      -0.0071
eff dxy [1,5)                    0.5236       0.4989      +0.0247
eff dxy [5,10)                   0.2456       0.2281      +0.0175
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9088       0.9242      -0.0154
eff transition 1.1-1.7           0.8586       0.8826      -0.0240
eff endcap >1.7                  0.7505       0.7556      -0.0051
dup rate (pt sums)               0.0627       0.0499      +0.0127
dup rate (pt>0.9)                0.0651       0.0513      +0.0138
dup rate barrel                  0.0157       0.0097      +0.0059
dup rate transition              0.0325       0.0130      +0.0195
dup rate endcap                  0.1001       0.0846      +0.0155
fake rate (pt sums)              0.0485       0.0451      +0.0034
fake rate (pt>0.9)               0.0501       0.0455      +0.0046
fake rate barrel                 0.0553       0.0437      +0.0116
fake rate transition             0.0542       0.0459      +0.0083
fake rate endcap                 0.0462       0.0463      -0.0002
mean nhitOT                       6.487        6.514       -0.027
mean nhitOT barrel               10.044       10.151       -0.107
mean nhitOT transition            9.894       10.010       -0.116
mean nhitOT endcap                3.679        3.559       +0.120
n TC (fr denom)                  613413       610581        +2832
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout4/transition/ab_w4.json
