########## base ##########
A/B compare (Root__TC set): proto=fanout4/cheapwins/ab_base_hists.root base=prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3222       0.3264      -0.0042
eff overall (pt>0.9)             0.8017       0.8136      -0.0118
eff vxy [0,1)                    0.8344       0.8473      -0.0129
eff vxy [1,5)                    0.7852       0.7731      +0.0120
eff vxy [5,10)                   0.7129       0.6530      +0.0599
eff vxy [10,30)                  0.6961       0.6291      +0.0670
eff dxy [0,1)                    0.8282       0.8342      -0.0060
eff dxy [1,5)                    0.5418       0.4989      +0.0429
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9091       0.9242      -0.0151
eff transition 1.1-1.7           0.8603       0.8826      -0.0223
eff endcap >1.7                  0.7505       0.7556      -0.0051
dup rate (pt sums)               0.0619       0.0499      +0.0120
dup rate (pt>0.9)                0.0643       0.0513      +0.0130
dup rate barrel                  0.0157       0.0097      +0.0059
dup rate transition              0.0282       0.0130      +0.0152
dup rate endcap                  0.1001       0.0846      +0.0155
fake rate (pt sums)              0.0518       0.0451      +0.0067
fake rate (pt>0.9)               0.0536       0.0455      +0.0081
fake rate barrel                 0.0553       0.0437      +0.0116
fake rate transition             0.0765       0.0459      +0.0307
fake rate endcap                 0.0462       0.0463      -0.0002
mean nhitOT                       6.521        6.514       +0.008
mean nhitOT barrel               10.044       10.151       -0.107
mean nhitOT transition            9.986       10.010       -0.024
mean nhitOT endcap                3.679        3.559       +0.120
n TC (fr denom)                  616467       610581        +5886
n sim (ef denom)                  63603        63603           +0
wrote fanout4/verify_cheapwins/v_base.json
########## pu0 ##########
A/B compare (Root__TC set): proto=fanout4/cheapwins/ab_pu0_hists.root base=prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3224       0.3264      -0.0041
eff overall (pt>0.9)             0.8022       0.8136      -0.0114
eff vxy [0,1)                    0.8348       0.8473      -0.0125
eff vxy [1,5)                    0.7859       0.7731      +0.0127
eff vxy [5,10)                   0.7145       0.6530      +0.0615
eff vxy [10,30)                  0.6961       0.6291      +0.0670
eff dxy [0,1)                    0.8287       0.8342      -0.0055
eff dxy [1,5)                    0.5418       0.4989      +0.0429
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9093       0.9242      -0.0148
eff transition 1.1-1.7           0.8606       0.8826      -0.0220
eff endcap >1.7                  0.7513       0.7556      -0.0043
dup rate (pt sums)               0.0643       0.0499      +0.0144
dup rate (pt>0.9)                0.0671       0.0513      +0.0158
dup rate barrel                  0.0188       0.0097      +0.0090
dup rate transition              0.0322       0.0130      +0.0191
dup rate endcap                  0.1025       0.0846      +0.0179
fake rate (pt sums)              0.0525       0.0451      +0.0074
fake rate (pt>0.9)               0.0544       0.0455      +0.0089
fake rate barrel                 0.0569       0.0437      +0.0132
fake rate transition             0.0778       0.0459      +0.0320
fake rate endcap                 0.0463       0.0463      -0.0000
mean nhitOT                       6.534        6.514       +0.020
mean nhitOT barrel               10.045       10.151       -0.105
mean nhitOT transition            9.988       10.010       -0.022
mean nhitOT endcap                3.695        3.559       +0.136
n TC (fr denom)                  618125       610581        +7544
n sim (ef denom)                  63603        63603           +0
wrote fanout4/verify_cheapwins/v_pu0.json
########## tr1 ##########
A/B compare (Root__TC set): proto=fanout4/cheapwins/ab_tr1_hists.root base=prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3228       0.3264      -0.0036
eff overall (pt>0.9)             0.8033       0.8136      -0.0103
eff vxy [0,1)                    0.8360       0.8473      -0.0114
eff vxy [1,5)                    0.7880       0.7731      +0.0148
eff vxy [5,10)                   0.7161       0.6530      +0.0631
eff vxy [10,30)                  0.6985       0.6291      +0.0694
eff dxy [0,1)                    0.8299       0.8342      -0.0044
eff dxy [1,5)                    0.5451       0.4989      +0.0461
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9123       0.9242      -0.0119
eff transition 1.1-1.7           0.8628       0.8826      -0.0198
eff endcap >1.7                  0.7501       0.7556      -0.0054
dup rate (pt sums)               0.0637       0.0499      +0.0138
dup rate (pt>0.9)                0.0664       0.0513      +0.0151
dup rate barrel                  0.0163       0.0097      +0.0066
dup rate transition              0.0296       0.0130      +0.0165
dup rate endcap                  0.1033       0.0846      +0.0187
fake rate (pt sums)              0.0508       0.0451      +0.0057
fake rate (pt>0.9)               0.0526       0.0455      +0.0071
fake rate barrel                 0.0541       0.0437      +0.0103
fake rate transition             0.0745       0.0459      +0.0286
fake rate endcap                 0.0455       0.0463      -0.0008
mean nhitOT                       6.376        6.514       -0.138
mean nhitOT barrel                9.933       10.151       -0.217
mean nhitOT transition            9.883       10.010       -0.127
mean nhitOT endcap                3.504        3.559       -0.055
n TC (fr denom)                  617325       610581        +6744
n sim (ef denom)                  63603        63603           +0
wrote fanout4/verify_cheapwins/v_tr1.json
