A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/attachretrain/ar_r2_a60_rps0_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3267       0.3264      +0.0002
eff overall (pt>0.9)             0.8137       0.8136      +0.0001
eff vxy [0,1)                    0.8466       0.8473      -0.0008
eff vxy [1,5)                    0.8049       0.7731      +0.0318
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7141       0.6291      +0.0850
eff dxy [0,1)                    0.8409       0.8342      +0.0067
eff dxy [1,5)                    0.5612       0.4989      +0.0622
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9255       0.9242      +0.0013
eff transition 1.1-1.7           0.8824       0.8826      -0.0003
eff endcap >1.7                  0.7547       0.7556      -0.0009
dup rate (pt sums)               0.0595       0.0499      +0.0096
dup rate (pt>0.9)                0.0612       0.0513      +0.0099
dup rate barrel                  0.0130       0.0097      +0.0033
dup rate transition              0.0235       0.0130      +0.0105
dup rate endcap                  0.0979       0.0846      +0.0134
fake rate (pt sums)              0.0466       0.0451      +0.0015
fake rate (pt>0.9)               0.0472       0.0455      +0.0017
fake rate barrel                 0.0510       0.0437      +0.0073
fake rate transition             0.0547       0.0459      +0.0088
fake rate endcap                 0.0430       0.0463      -0.0034
mean nhitOT                       6.294        6.514       -0.220
mean nhitOT barrel                9.801       10.151       -0.350
mean nhitOT transition            9.702       10.010       -0.308
mean nhitOT endcap                3.429        3.559       -0.130
n TC (fr denom)                  617989       610581        +7408
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/attachretrain/ar_r2_a60_rps0.json
