A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/attachretrain/ar_r3_a54_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3266       0.3264      +0.0002
eff overall (pt>0.9)             0.8135       0.8136      -0.0000
eff vxy [0,1)                    0.8463       0.8473      -0.0010
eff vxy [1,5)                    0.8064       0.7731      +0.0332
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7157       0.6291      +0.0866
eff dxy [0,1)                    0.8408       0.8342      +0.0066
eff dxy [1,5)                    0.5622       0.4989      +0.0633
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9254       0.9242      +0.0012
eff transition 1.1-1.7           0.8829       0.8826      +0.0003
eff endcap >1.7                  0.7541       0.7556      -0.0014
dup rate (pt sums)               0.0550       0.0499      +0.0051
dup rate (pt>0.9)                0.0562       0.0513      +0.0049
dup rate barrel                  0.0129       0.0097      +0.0032
dup rate transition              0.0226       0.0130      +0.0096
dup rate endcap                  0.0891       0.0846      +0.0045
fake rate (pt sums)              0.0467       0.0451      +0.0016
fake rate (pt>0.9)               0.0473       0.0455      +0.0018
fake rate barrel                 0.0511       0.0437      +0.0074
fake rate transition             0.0550       0.0459      +0.0091
fake rate endcap                 0.0431       0.0463      -0.0033
mean nhitOT                       6.314        6.514       -0.200
mean nhitOT barrel                9.802       10.151       -0.349
mean nhitOT transition            9.712       10.010       -0.298
mean nhitOT endcap                3.454        3.559       -0.105
n TC (fr denom)                  616273       610581        +5692
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/attachretrain/ar_r3_a54.json
