A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_fl_d1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3263       0.3264      -0.0001
eff overall (pt>0.9)             0.8128       0.8136      -0.0008
eff vxy [0,1)                    0.8460       0.8473      -0.0014
eff vxy [1,5)                    0.7986       0.7731      +0.0254
eff vxy [5,10)                   0.7429       0.6530      +0.0899
eff vxy [10,30)                  0.7255       0.6291      +0.0964
eff dxy [0,1)                    0.8410       0.8342      +0.0068
eff dxy [1,5)                    0.5676       0.4989      +0.0687
eff dxy [5,10)                   0.2351       0.2281      +0.0070
eff dxy [10,30)                  0.0342       0.0470      -0.0128
eff barrel |eta|<1.1             0.9242       0.9242      +0.0000
eff transition 1.1-1.7           0.8804       0.8826      -0.0023
eff endcap >1.7                  0.7546       0.7556      -0.0010
dup rate (pt sums)               0.0554       0.0499      +0.0055
dup rate (pt>0.9)                0.0570       0.0513      +0.0057
dup rate barrel                  0.0146       0.0097      +0.0049
dup rate transition              0.0223       0.0130      +0.0092
dup rate endcap                  0.0900       0.0846      +0.0054
fake rate (pt sums)              0.0482       0.0451      +0.0031
fake rate (pt>0.9)               0.0491       0.0455      +0.0036
fake rate barrel                 0.0578       0.0437      +0.0141
fake rate transition             0.0568       0.0459      +0.0109
fake rate endcap                 0.0421       0.0463      -0.0042
mean nhitOT                       6.296        6.514       -0.218
mean nhitOT barrel                9.809       10.151       -0.342
mean nhitOT transition            9.631       10.010       -0.379
mean nhitOT endcap                3.422        3.559       -0.137
n TC (fr denom)                  617220       610581        +6639
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_fl_d1.json
