A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_fl_d1e35_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3263       0.3264      -0.0001
eff overall (pt>0.9)             0.8128       0.8136      -0.0007
eff vxy [0,1)                    0.8460       0.8473      -0.0013
eff vxy [1,5)                    0.7986       0.7731      +0.0254
eff vxy [5,10)                   0.7445       0.6530      +0.0915
eff vxy [10,30)                  0.7247       0.6291      +0.0956
eff dxy [0,1)                    0.8410       0.8342      +0.0068
eff dxy [1,5)                    0.5687       0.4989      +0.0697
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0278       0.0470      -0.0192
eff barrel |eta|<1.1             0.9244       0.9242      +0.0002
eff transition 1.1-1.7           0.8798       0.8826      -0.0028
eff endcap >1.7                  0.7547       0.7556      -0.0009
dup rate (pt sums)               0.0554       0.0499      +0.0055
dup rate (pt>0.9)                0.0570       0.0513      +0.0057
dup rate barrel                  0.0146       0.0097      +0.0049
dup rate transition              0.0223       0.0130      +0.0093
dup rate endcap                  0.0900       0.0846      +0.0054
fake rate (pt sums)              0.0471       0.0451      +0.0020
fake rate (pt>0.9)               0.0479       0.0455      +0.0024
fake rate barrel                 0.0546       0.0437      +0.0109
fake rate transition             0.0555       0.0459      +0.0097
fake rate endcap                 0.0420       0.0463      -0.0043
mean nhitOT                       6.289        6.514       -0.225
mean nhitOT barrel                9.806       10.151       -0.345
mean nhitOT transition            9.629       10.010       -0.381
mean nhitOT endcap                3.422        3.559       -0.138
n TC (fr denom)                  616429       610581        +5848
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_fl_d1e35.json
