A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_fl_d2g_e00_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3262       0.3264      -0.0002
eff overall (pt>0.9)             0.8123       0.8136      -0.0013
eff vxy [0,1)                    0.8452       0.8473      -0.0021
eff vxy [1,5)                    0.8014       0.7731      +0.0283
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7108       0.6291      +0.0817
eff dxy [0,1)                    0.8396       0.8342      +0.0054
eff dxy [1,5)                    0.5558       0.4989      +0.0569
eff dxy [5,10)                   0.2351       0.2281      +0.0070
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9249       0.9242      +0.0007
eff transition 1.1-1.7           0.8778       0.8826      -0.0048
eff endcap >1.7                  0.7538       0.7556      -0.0018
dup rate (pt sums)               0.0552       0.0499      +0.0053
dup rate (pt>0.9)                0.0567       0.0513      +0.0054
dup rate barrel                  0.0138       0.0097      +0.0041
dup rate transition              0.0230       0.0130      +0.0100
dup rate endcap                  0.0893       0.0846      +0.0048
fake rate (pt sums)              0.0443       0.0451      -0.0008
fake rate (pt>0.9)               0.0449       0.0455      -0.0006
fake rate barrel                 0.0441       0.0437      +0.0004
fake rate transition             0.0556       0.0459      +0.0097
fake rate endcap                 0.0423       0.0463      -0.0041
mean nhitOT                       6.257        6.514       -0.257
mean nhitOT barrel                9.801       10.151       -0.350
mean nhitOT transition            9.624       10.010       -0.385
mean nhitOT endcap                3.389        3.559       -0.170
n TC (fr denom)                  614338       610581        +3757
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_fl_d2g_e00.json
