A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_fl_d2gc_e32_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3262       0.3264      -0.0003
eff overall (pt>0.9)             0.8122       0.8136      -0.0013
eff vxy [0,1)                    0.8452       0.8473      -0.0021
eff vxy [1,5)                    0.8021       0.7731      +0.0290
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7100       0.6291      +0.0809
eff dxy [0,1)                    0.8395       0.8342      +0.0053
eff dxy [1,5)                    0.5601       0.4989      +0.0612
eff dxy [5,10)                   0.2386       0.2281      +0.0105
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9251       0.9242      +0.0009
eff transition 1.1-1.7           0.8773       0.8826      -0.0053
eff endcap >1.7                  0.7537       0.7556      -0.0019
dup rate (pt sums)               0.0546       0.0499      +0.0047
dup rate (pt>0.9)                0.0561       0.0513      +0.0048
dup rate barrel                  0.0140       0.0097      +0.0042
dup rate transition              0.0227       0.0130      +0.0097
dup rate endcap                  0.0883       0.0846      +0.0037
fake rate (pt sums)              0.0443       0.0451      -0.0008
fake rate (pt>0.9)               0.0450       0.0455      -0.0005
fake rate barrel                 0.0440       0.0437      +0.0003
fake rate transition             0.0556       0.0459      +0.0097
fake rate endcap                 0.0424       0.0463      -0.0040
mean nhitOT                       6.255        6.514       -0.258
mean nhitOT barrel                9.795       10.151       -0.356
mean nhitOT transition            9.627       10.010       -0.382
mean nhitOT endcap                3.387        3.559       -0.172
n TC (fr denom)                  614143       610581        +3562
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_fl_d2gc_e32.json
