A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_fl_d3ek_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3255       0.3264      -0.0009
eff overall (pt>0.9)             0.8106       0.8136      -0.0030
eff vxy [0,1)                    0.8438       0.8473      -0.0035
eff vxy [1,5)                    0.7972       0.7731      +0.0240
eff vxy [5,10)                   0.7413       0.6530      +0.0883
eff vxy [10,30)                  0.7100       0.6291      +0.0809
eff dxy [0,1)                    0.8384       0.8342      +0.0042
eff dxy [1,5)                    0.5601       0.4989      +0.0612
eff dxy [5,10)                   0.2386       0.2281      +0.0105
eff dxy [10,30)                  0.0278       0.0470      -0.0192
eff barrel |eta|<1.1             0.9232       0.9242      -0.0010
eff transition 1.1-1.7           0.8741       0.8826      -0.0085
eff endcap >1.7                  0.7528       0.7556      -0.0028
dup rate (pt sums)               0.0546       0.0499      +0.0047
dup rate (pt>0.9)                0.0565       0.0513      +0.0052
dup rate barrel                  0.0146       0.0097      +0.0048
dup rate transition              0.0232       0.0130      +0.0102
dup rate endcap                  0.0889       0.0846      +0.0043
fake rate (pt sums)              0.0482       0.0451      +0.0031
fake rate (pt>0.9)               0.0499       0.0455      +0.0044
fake rate barrel                 0.0592       0.0437      +0.0155
fake rate transition             0.0559       0.0459      +0.0101
fake rate endcap                 0.0430       0.0463      -0.0033
mean nhitOT                       6.239        6.514       -0.274
mean nhitOT barrel                9.749       10.151       -0.402
mean nhitOT transition            9.605       10.010       -0.404
mean nhitOT endcap                3.359        3.559       -0.200
n TC (fr denom)                  616429       610581        +5848
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_fl_d3ek.json
