A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_probe_e10_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3266       0.3264      +0.0001
eff overall (pt>0.9)             0.8133       0.8136      -0.0002
eff vxy [0,1)                    0.8462       0.8473      -0.0011
eff vxy [1,5)                    0.8049       0.7731      +0.0318
eff vxy [5,10)                   0.7303       0.6530      +0.0773
eff vxy [10,30)                  0.7149       0.6291      +0.0858
eff dxy [0,1)                    0.8407       0.8342      +0.0065
eff dxy [1,5)                    0.5526       0.4989      +0.0536
eff dxy [5,10)                   0.2246       0.2281      -0.0035
eff dxy [10,30)                  0.0342       0.0470      -0.0128
eff barrel |eta|<1.1             0.9249       0.9242      +0.0007
eff transition 1.1-1.7           0.8814       0.8826      -0.0013
eff endcap >1.7                  0.7549       0.7556      -0.0007
dup rate (pt sums)               0.0556       0.0499      +0.0056
dup rate (pt>0.9)                0.0569       0.0513      +0.0056
dup rate barrel                  0.0137       0.0097      +0.0039
dup rate transition              0.0230       0.0130      +0.0099
dup rate endcap                  0.0901       0.0846      +0.0055
fake rate (pt sums)              0.0485       0.0451      +0.0034
fake rate (pt>0.9)               0.0495       0.0455      +0.0040
fake rate barrel                 0.0571       0.0437      +0.0134
fake rate transition             0.0577       0.0459      +0.0119
fake rate endcap                 0.0430       0.0463      -0.0034
mean nhitOT                       6.302        6.514       -0.212
mean nhitOT barrel                9.803       10.151       -0.347
mean nhitOT transition            9.701       10.010       -0.309
mean nhitOT endcap                3.418        3.559       -0.141
n TC (fr denom)                  617717       610581        +7136
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/edgeretrain/er_probe_e10.json
