A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_dupcc/x_xp3_2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3257       0.3264      -0.0007
eff overall (pt>0.9)             0.8112       0.8136      -0.0024
eff vxy [0,1)                    0.8441       0.8473      -0.0033
eff vxy [1,5)                    0.7972       0.7731      +0.0240
eff vxy [5,10)                   0.7240       0.6530      +0.0710
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.8383       0.8342      +0.0041
eff dxy [1,5)                    0.5633       0.4989      +0.0644
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9210       0.9242      -0.0031
eff transition 1.1-1.7           0.8798       0.8826      -0.0028
eff endcap >1.7                  0.7539       0.7556      -0.0017
dup rate (pt sums)               0.0548       0.0499      +0.0048
dup rate (pt>0.9)                0.0559       0.0513      +0.0046
dup rate barrel                  0.0124       0.0097      +0.0027
dup rate transition              0.0218       0.0130      +0.0088
dup rate endcap                  0.0892       0.0846      +0.0046
fake rate (pt sums)              0.0462       0.0451      +0.0011
fake rate (pt>0.9)               0.0470       0.0455      +0.0015
fake rate barrel                 0.0512       0.0437      +0.0075
fake rate transition             0.0548       0.0459      +0.0089
fake rate endcap                 0.0424       0.0463      -0.0039
mean nhitOT                       6.292        6.514       -0.221
mean nhitOT barrel                9.810       10.151       -0.341
mean nhitOT transition            9.708       10.010       -0.301
mean nhitOT endcap                3.414        3.559       -0.145
n TC (fr denom)                  615166       610581        +4585
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_dupcc/x_xp3_2.json
