A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_dupwin/x_d05t20_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3262       0.3264      -0.0002
eff overall (pt>0.9)             0.8123       0.8136      -0.0012
eff vxy [0,1)                    0.8452       0.8473      -0.0021
eff vxy [1,5)                    0.8021       0.7731      +0.0290
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7173       0.6291      +0.0882
eff dxy [0,1)                    0.8397       0.8342      +0.0055
eff dxy [1,5)                    0.5633       0.4989      +0.0644
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9231       0.9242      -0.0011
eff transition 1.1-1.7           0.8796       0.8826      -0.0030
eff endcap >1.7                  0.7549       0.7556      -0.0007
dup rate (pt sums)               0.0534       0.0499      +0.0034
dup rate (pt>0.9)                0.0543       0.0513      +0.0030
dup rate barrel                  0.0118       0.0097      +0.0021
dup rate transition              0.0187       0.0130      +0.0057
dup rate endcap                  0.0874       0.0846      +0.0029
fake rate (pt sums)              0.0464       0.0451      +0.0013
fake rate (pt>0.9)               0.0472       0.0455      +0.0017
fake rate barrel                 0.0511       0.0437      +0.0074
fake rate transition             0.0549       0.0459      +0.0091
fake rate endcap                 0.0428       0.0463      -0.0035
mean nhitOT                       6.283        6.514       -0.231
mean nhitOT barrel                9.792       10.151       -0.358
mean nhitOT transition            9.698       10.010       -0.312
mean nhitOT endcap                3.406        3.559       -0.153
n TC (fr denom)                  615304       610581        +4723
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_dupwin/x_d05t20.json
