A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_dupwin/x_lbt_e15t30_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3263       0.3264      -0.0001
eff overall (pt>0.9)             0.8128       0.8136      -0.0008
eff vxy [0,1)                    0.8456       0.8473      -0.0017
eff vxy [1,5)                    0.8035       0.7731      +0.0304
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8401       0.8342      +0.0059
eff dxy [1,5)                    0.5622       0.4989      +0.0633
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9243       0.9242      +0.0001
eff transition 1.1-1.7           0.8798       0.8826      -0.0028
eff endcap >1.7                  0.7547       0.7556      -0.0009
dup rate (pt sums)               0.0516       0.0499      +0.0017
dup rate (pt>0.9)                0.0523       0.0513      +0.0010
dup rate barrel                  0.0138       0.0097      +0.0041
dup rate transition              0.0183       0.0130      +0.0053
dup rate endcap                  0.0830       0.0846      -0.0016
fake rate (pt sums)              0.0462       0.0451      +0.0011
fake rate (pt>0.9)               0.0469       0.0455      +0.0014
fake rate barrel                 0.0517       0.0437      +0.0080
fake rate transition             0.0542       0.0459      +0.0083
fake rate endcap                 0.0421       0.0463      -0.0042
mean nhitOT                       6.315        6.514       -0.199
mean nhitOT barrel                9.830       10.151       -0.321
mean nhitOT transition            9.743       10.010       -0.267
mean nhitOT endcap                3.417        3.559       -0.142
n TC (fr denom)                  614530       610581        +3949
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_dupwin/x_lbt_e15t30.json
