A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_dupwin/x_t15_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3263       0.3264      -0.0001
eff overall (pt>0.9)             0.8126       0.8136      -0.0010
eff vxy [0,1)                    0.8455       0.8473      -0.0018
eff vxy [1,5)                    0.8021       0.7731      +0.0290
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7132       0.6291      +0.0842
eff dxy [0,1)                    0.8398       0.8342      +0.0056
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9235       0.9242      -0.0007
eff transition 1.1-1.7           0.8801       0.8826      -0.0025
eff endcap >1.7                  0.7549       0.7556      -0.0007
dup rate (pt sums)               0.0507       0.0499      +0.0008
dup rate (pt>0.9)                0.0514       0.0513      +0.0001
dup rate barrel                  0.0106       0.0097      +0.0008
dup rate transition              0.0141       0.0130      +0.0010
dup rate endcap                  0.0840       0.0846      -0.0006
fake rate (pt sums)              0.0449       0.0451      -0.0002
fake rate (pt>0.9)               0.0455       0.0455      -0.0000
fake rate barrel                 0.0478       0.0437      +0.0041
fake rate transition             0.0517       0.0459      +0.0058
fake rate endcap                 0.0425       0.0463      -0.0039
mean nhitOT                       6.270        6.514       -0.244
mean nhitOT barrel                9.793       10.151       -0.357
mean nhitOT transition            9.696       10.010       -0.314
mean nhitOT endcap                3.392        3.559       -0.168
n TC (fr denom)                  613119       610581        +2538
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_dupwin/x_t15.json
