A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_extend/ex_r25_30_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3260       0.3264      -0.0005
eff overall (pt>0.9)             0.8118       0.8136      -0.0018
eff vxy [0,1)                    0.8447       0.8473      -0.0026
eff vxy [1,5)                    0.8007       0.7731      +0.0276
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7165       0.6291      +0.0874
eff dxy [0,1)                    0.8391       0.8342      +0.0049
eff dxy [1,5)                    0.5612       0.4989      +0.0622
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9236       0.9242      -0.0006
eff transition 1.1-1.7           0.8758       0.8826      -0.0068
eff endcap >1.7                  0.7547       0.7556      -0.0009
dup rate (pt sums)               0.0556       0.0499      +0.0057
dup rate (pt>0.9)                0.0569       0.0513      +0.0056
dup rate barrel                  0.0138       0.0097      +0.0041
dup rate transition              0.0224       0.0130      +0.0093
dup rate endcap                  0.0900       0.0846      +0.0055
fake rate (pt sums)              0.0480       0.0451      +0.0029
fake rate (pt>0.9)               0.0488       0.0455      +0.0033
fake rate barrel                 0.0527       0.0437      +0.0090
fake rate transition             0.0607       0.0459      +0.0148
fake rate endcap                 0.0433       0.0463      -0.0031
mean nhitOT                       6.392        6.514       -0.122
mean nhitOT barrel                9.920       10.151       -0.231
mean nhitOT transition            9.952       10.010       -0.058
mean nhitOT endcap                3.459        3.559       -0.101
n TC (fr denom)                  616650       610581        +6069
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_extend/ex_r25_30.json
