A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_lenorder/lb3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3265       0.3264      +0.0000
eff overall (pt>0.9)             0.8131       0.8136      -0.0004
eff vxy [0,1)                    0.8461       0.8473      -0.0012
eff vxy [1,5)                    0.8014       0.7731      +0.0283
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8405       0.8342      +0.0063
eff dxy [1,5)                    0.5612       0.4989      +0.0622
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9241       0.9242      -0.0001
eff transition 1.1-1.7           0.8814       0.8826      -0.0013
eff endcap >1.7                  0.7551       0.7556      -0.0004
dup rate (pt sums)               0.0552       0.0499      +0.0053
dup rate (pt>0.9)                0.0565       0.0513      +0.0052
dup rate barrel                  0.0138       0.0097      +0.0041
dup rate transition              0.0222       0.0130      +0.0092
dup rate endcap                  0.0894       0.0846      +0.0048
fake rate (pt sums)              0.0468       0.0451      +0.0017
fake rate (pt>0.9)               0.0475       0.0455      +0.0020
fake rate barrel                 0.0518       0.0437      +0.0081
fake rate transition             0.0556       0.0459      +0.0098
fake rate endcap                 0.0429       0.0463      -0.0035
mean nhitOT                       6.329        6.514       -0.184
mean nhitOT barrel                9.832       10.151       -0.319
mean nhitOT transition            9.760       10.010       -0.250
mean nhitOT endcap                3.448        3.559       -0.112
n TC (fr denom)                  616417       610581        +5836
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_lenorder/lb3.json
