A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_lenorder/lg2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3238       0.3264      -0.0026
eff overall (pt>0.9)             0.8058       0.8136      -0.0078
eff vxy [0,1)                    0.8387       0.8473      -0.0086
eff vxy [1,5)                    0.7922       0.7731      +0.0191
eff vxy [5,10)                   0.7177       0.6530      +0.0647
eff vxy [10,30)                  0.6928       0.6291      +0.0637
eff dxy [0,1)                    0.8325       0.8342      -0.0017
eff dxy [1,5)                    0.5386       0.4989      +0.0397
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9143       0.9242      -0.0099
eff transition 1.1-1.7           0.8681       0.8826      -0.0145
eff endcap >1.7                  0.7521       0.7556      -0.0034
dup rate (pt sums)               0.0546       0.0499      +0.0047
dup rate (pt>0.9)                0.0558       0.0513      +0.0045
dup rate barrel                  0.0137       0.0097      +0.0039
dup rate transition              0.0207       0.0130      +0.0076
dup rate endcap                  0.0887       0.0846      +0.0041
fake rate (pt sums)              0.0505       0.0451      +0.0054
fake rate (pt>0.9)               0.0519       0.0455      +0.0064
fake rate barrel                 0.0583       0.0437      +0.0146
fake rate transition             0.0631       0.0459      +0.0172
fake rate endcap                 0.0452       0.0463      -0.0011
mean nhitOT                       6.420        6.514       -0.094
mean nhitOT barrel                9.961       10.151       -0.190
mean nhitOT transition            9.903       10.010       -0.107
mean nhitOT endcap                3.502        3.559       -0.057
n TC (fr denom)                  616203       610581        +5622
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_lenorder/lg2.json
