tag                    eff    v15   v510  v1030    d15   d510 |    nhB    nhT    nhE |   dupB   dupT   dupE |   fake    dup    nTC |  trims    ms status
--------------------------------------------------------------------------------------------------------------------------------------------------------
g_def              0.80175 0.7852 0.7129 0.6961 0.5418  71/285| 10.044  9.986  3.679 | 0.0157 0.0282 0.1001 | 0.0536 0.06428 616467 |    nan   263 FAIL:EFF,V15,V510,V1030,D15,FAKE
g_flag             0.81325 0.8042 0.7287 0.7190 0.5633  71/285|  9.794  9.698  3.417 | 0.0140 0.0230 0.0902 | 0.0474 0.05708 616650 |  72502   265 pass
a_tt10_ta05        0.81390 0.8049 0.7303 0.7190 0.5633  71/285|  9.654  9.565  3.375 | 0.0143 0.0243 0.0914 | 0.0472 0.05807 617041 | 122410   267 pass
a_tt11_ta05        0.81373 0.8049 0.7303 0.7190 0.5633  71/285|  9.673  9.604  3.385 | 0.0143 0.0237 0.0912 | 0.0472 0.05784 616977 | 108617   266 pass
a_tt12_ta05        0.81382 0.8042 0.7287 0.7190 0.5633  71/285|  9.686  9.632  3.389 | 0.0142 0.0235 0.0910 | 0.0473 0.05770 616939 |  99862   266 pass
a_tt15_ta05        0.81373 0.8042 0.7287 0.7190 0.5633  71/285|  9.711  9.677  3.399 | 0.0141 0.0231 0.0908 | 0.0474 0.05745 616848 |  86010   266 pass
a_tt20_ta05        0.81333 0.8035 0.7287 0.7190 0.5633  71/285|  9.740  9.704  3.406 | 0.0140 0.0229 0.0906 | 0.0476 0.05732 616792 |  75489   267 pass
a_tt30_ta05        0.81303 0.8035 0.7287 0.7181 0.5633  71/285|  9.776  9.731  3.410 | 0.0139 0.0227 0.0905 | 0.0477 0.05720 616706 |  64912   266 pass
a_tt10_ta10        0.81320 0.8049 0.7287 0.7190 0.5633  71/285|  9.782  9.658  3.406 | 0.0141 0.0238 0.0904 | 0.0473 0.05735 616711 |  87950   265 pass
a_tt11_ta10        0.81316 0.8049 0.7287 0.7190 0.5633  71/285|  9.789  9.682  3.414 | 0.0140 0.0234 0.0903 | 0.0474 0.05720 616672 |  78417   267 pass
a_tt12_ta10        0.81325 0.8042 0.7287 0.7190 0.5633  71/285|  9.794  9.698  3.417 | 0.0140 0.0230 0.0902 | 0.0474 0.05708 616650 |  72502   267 pass
a_tt15_ta10        0.81307 0.8042 0.7287 0.7190 0.5633  71/285|  9.802  9.724  3.426 | 0.0139 0.0228 0.0899 | 0.0475 0.05690 616595 |  63536   267 pass
a_tt20_ta10        0.81281 0.8035 0.7287 0.7190 0.5633  71/285|  9.812  9.741  3.430 | 0.0139 0.0227 0.0898 | 0.0476 0.05681 616564 |  56998   267 pass
a_tt30_ta10        0.81268 0.8035 0.7287 0.7181 0.5633  71/285|  9.825  9.758  3.434 | 0.0138 0.0226 0.0898 | 0.0477 0.05673 616515 |  50608   265 FAIL:EFF
a_tt10_ta30        0.81215 0.8014 0.7256 0.7173 0.5612  71/285|  9.883  9.791  3.483 | 0.0137 0.0225 0.0895 | 0.0478 0.05653 616328 |  36112   267 FAIL:EFF,V15,V510,D15
a_tt11_ta30        0.81215 0.8014 0.7256 0.7173 0.5612  71/285|  9.883  9.793  3.485 | 0.0137 0.0225 0.0894 | 0.0478 0.05650 616322 |  32936   269 FAIL:EFF,V15,V510,D15
a_tt12_ta30        0.81215 0.8014 0.7256 0.7173 0.5612  71/285|  9.883  9.794  3.486 | 0.0137 0.0224 0.0894 | 0.0478 0.05646 616316 |  31233   267 FAIL:EFF,V15,V510,D15
a_tt15_ta30        0.81215 0.8014 0.7256 0.7173 0.5612  71/285|  9.883  9.796  3.488 | 0.0137 0.0223 0.0893 | 0.0479 0.05643 616316 |  28760   268 FAIL:EFF,V15,V510,D15
