A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_trim/a_tt15_ta05_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3267       0.3264      +0.0003
eff overall (pt>0.9)             0.8137       0.8136      +0.0002
eff vxy [0,1)                    0.8466       0.8473      -0.0007
eff vxy [1,5)                    0.8042       0.7731      +0.0311
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.8411       0.8342      +0.0069
eff dxy [1,5)                    0.5633       0.4989      +0.0644
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9251       0.9242      +0.0009
eff transition 1.1-1.7           0.8826       0.8826      +0.0000
eff endcap >1.7                  0.7551       0.7556      -0.0004
dup rate (pt sums)               0.0561       0.0499      +0.0062
dup rate (pt>0.9)                0.0574       0.0513      +0.0061
dup rate barrel                  0.0141       0.0097      +0.0044
dup rate transition              0.0231       0.0130      +0.0101
dup rate endcap                  0.0908       0.0846      +0.0062
fake rate (pt sums)              0.0467       0.0451      +0.0016
fake rate (pt>0.9)               0.0474       0.0455      +0.0019
fake rate barrel                 0.0517       0.0437      +0.0080
fake rate transition             0.0553       0.0459      +0.0094
fake rate endcap                 0.0428       0.0463      -0.0035
mean nhitOT                       6.254        6.514       -0.259
mean nhitOT barrel                9.711       10.151       -0.439
mean nhitOT transition            9.677       10.010       -0.333
mean nhitOT endcap                3.399        3.559       -0.160
n TC (fr denom)                  616848       610581        +6267
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_trim/a_tt15_ta05.json
