A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_twoway/tw_b2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3268       0.3264      +0.0004
eff overall (pt>0.9)             0.8140       0.8136      +0.0005
eff vxy [0,1)                    0.8470       0.8473      -0.0004
eff vxy [1,5)                    0.8042       0.7731      +0.0311
eff vxy [5,10)                   0.7319       0.6530      +0.0789
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.8415       0.8342      +0.0073
eff dxy [1,5)                    0.5644       0.4989      +0.0655
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9251       0.9242      +0.0009
eff transition 1.1-1.7           0.8826       0.8826      +0.0000
eff endcap >1.7                  0.7559       0.7556      +0.0003
dup rate (pt sums)               0.0954       0.0499      +0.0455
dup rate (pt>0.9)                0.1019       0.0513      +0.0506
dup rate barrel                  0.0448       0.0097      +0.0350
dup rate transition              0.0810       0.0130      +0.0680
dup rate endcap                  0.1384       0.0846      +0.0539
fake rate (pt sums)              0.0468       0.0451      +0.0017
fake rate (pt>0.9)               0.0475       0.0455      +0.0020
fake rate barrel                 0.0525       0.0437      +0.0087
fake rate transition             0.0558       0.0459      +0.0099
fake rate endcap                 0.0424       0.0463      -0.0039
mean nhitOT                       6.382        6.514       -0.132
mean nhitOT barrel                9.802       10.151       -0.349
mean nhitOT transition            9.705       10.010       -0.305
mean nhitOT endcap                3.590        3.559       +0.031
n TC (fr denom)                  630953       610581       +20372
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_twoway/tw_b2.json
