A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_twoway/tw_size2nb_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3277       0.3264      +0.0013
eff overall (pt>0.9)             0.8162       0.8136      +0.0027
eff vxy [0,1)                    0.8492       0.8473      +0.0018
eff vxy [1,5)                    0.8099       0.7731      +0.0367
eff vxy [5,10)                   0.7413       0.6530      +0.0883
eff vxy [10,30)                  0.7328       0.6291      +0.1038
eff dxy [0,1)                    0.8445       0.8342      +0.0103
eff dxy [1,5)                    0.5740       0.4989      +0.0751
eff dxy [5,10)                   0.2561       0.2281      +0.0281
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9276       0.9242      +0.0034
eff transition 1.1-1.7           0.8876       0.8826      +0.0050
eff endcap >1.7                  0.7568       0.7556      +0.0012
dup rate (pt sums)               0.4992       0.0499      +0.4493
dup rate (pt>0.9)                0.5435       0.0513      +0.4922
dup rate barrel                  0.6622       0.0097      +0.6525
dup rate transition              0.6568       0.0130      +0.6438
dup rate endcap                  0.4214       0.0846      +0.3368
fake rate (pt sums)              0.0514       0.0451      +0.0063
fake rate (pt>0.9)               0.0520       0.0455      +0.0065
fake rate barrel                 0.0600       0.0437      +0.0162
fake rate transition             0.0669       0.0459      +0.0211
fake rate endcap                 0.0410       0.0463      -0.0053
mean nhitOT                       7.424        6.514       +0.911
mean nhitOT barrel               10.060       10.151       -0.090
mean nhitOT transition            9.951       10.010       -0.059
mean nhitOT endcap                4.710        3.559       +1.151
n TC (fr denom)                  821233       610581      +210652
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/ex_twoway/tw_size2nb.json
