A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/final/f_c3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3264       0.3264      -0.0000
eff overall (pt>0.9)             0.8129       0.8136      -0.0006
eff vxy [0,1)                    0.8458       0.8473      -0.0015
eff vxy [1,5)                    0.8049       0.7731      +0.0318
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7173       0.6291      +0.0882
eff dxy [0,1)                    0.8403       0.8342      +0.0061
eff dxy [1,5)                    0.5633       0.4989      +0.0644
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9247       0.9242      +0.0006
eff transition 1.1-1.7           0.8814       0.8826      -0.0013
eff endcap >1.7                  0.7540       0.7556      -0.0016
dup rate (pt sums)               0.0511       0.0499      +0.0012
dup rate (pt>0.9)                0.0518       0.0513      +0.0005
dup rate barrel                  0.0136       0.0097      +0.0039
dup rate transition              0.0185       0.0130      +0.0055
dup rate endcap                  0.0820       0.0846      -0.0025
fake rate (pt sums)              0.0456       0.0451      +0.0005
fake rate (pt>0.9)               0.0463       0.0455      +0.0008
fake rate barrel                 0.0514       0.0437      +0.0077
fake rate transition             0.0537       0.0459      +0.0079
fake rate endcap                 0.0413       0.0463      -0.0050
mean nhitOT                       6.359        6.514       -0.155
mean nhitOT barrel                9.879       10.151       -0.272
mean nhitOT transition            9.854       10.010       -0.156
mean nhitOT endcap                3.449        3.559       -0.110
n TC (fr denom)                  614208       610581        +3627
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/final/f_c3.json
