A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_dup/rd_a7_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3266       0.3264      +0.0001
eff overall (pt>0.9)             0.8134       0.8136      -0.0001
eff vxy [0,1)                    0.8463       0.8473      -0.0010
eff vxy [1,5)                    0.8042       0.7731      +0.0311
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7132       0.6291      +0.0842
eff dxy [0,1)                    0.8406       0.8342      +0.0063
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9250       0.9242      +0.0008
eff transition 1.1-1.7           0.8826       0.8826      +0.0000
eff endcap >1.7                  0.7545       0.7556      -0.0011
dup rate (pt sums)               0.0541       0.0499      +0.0042
dup rate (pt>0.9)                0.0552       0.0513      +0.0039
dup rate barrel                  0.0132       0.0097      +0.0035
dup rate transition              0.0222       0.0130      +0.0091
dup rate endcap                  0.0877       0.0846      +0.0031
fake rate (pt sums)              0.0468       0.0451      +0.0017
fake rate (pt>0.9)               0.0475       0.0455      +0.0020
fake rate barrel                 0.0517       0.0437      +0.0079
fake rate transition             0.0547       0.0459      +0.0088
fake rate endcap                 0.0432       0.0463      -0.0031
mean nhitOT                       6.307        6.514       -0.206
mean nhitOT barrel                9.807       10.151       -0.344
mean nhitOT transition            9.707       10.010       -0.303
mean nhitOT endcap                3.419        3.559       -0.140
n TC (fr denom)                  615867       610581        +5286
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_dup/rd_a7.json
