A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_dup/rd_dd2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3246       0.3264      -0.0019
eff overall (pt>0.9)             0.8080       0.8136      -0.0055
eff vxy [0,1)                    0.8410       0.8473      -0.0063
eff vxy [1,5)                    0.7929       0.7731      +0.0198
eff vxy [5,10)                   0.7192       0.6530      +0.0662
eff vxy [10,30)                  0.6814       0.6291      +0.0523
eff dxy [0,1)                    0.8340       0.8342      -0.0003
eff dxy [1,5)                    0.5343       0.4989      +0.0354
eff dxy [5,10)                   0.2386       0.2281      +0.0105
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9170       0.9242      -0.0072
eff transition 1.1-1.7           0.8713       0.8826      -0.0113
eff endcap >1.7                  0.7537       0.7556      -0.0019
dup rate (pt sums)               0.0494       0.0499      -0.0005
dup rate (pt>0.9)                0.0501       0.0513      -0.0012
dup rate barrel                  0.0101       0.0097      +0.0003
dup rate transition              0.0108       0.0130      -0.0022
dup rate endcap                  0.0824       0.0846      -0.0022
fake rate (pt sums)              0.0394       0.0451      -0.0057
fake rate (pt>0.9)               0.0395       0.0455      -0.0060
fake rate barrel                 0.0359       0.0437      -0.0078
fake rate transition             0.0418       0.0459      -0.0040
fake rate endcap                 0.0408       0.0463      -0.0055
mean nhitOT                       6.234        6.514       -0.280
mean nhitOT barrel                9.795       10.151       -0.355
mean nhitOT transition            9.688       10.010       -0.322
mean nhitOT endcap                3.368        3.559       -0.191
n TC (fr denom)                  607227       610581        -3354
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_dup/rd_dd2.json
