A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_fs10_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3272       0.3264      +0.0008
eff overall (pt>0.9)             0.8152       0.8136      +0.0016
eff vxy [0,1)                    0.8481       0.8473      +0.0008
eff vxy [1,5)                    0.8064       0.7731      +0.0332
eff vxy [5,10)                   0.7397       0.6530      +0.0868
eff vxy [10,30)                  0.7263       0.6291      +0.0972
eff dxy [0,1)                    0.8431       0.8342      +0.0089
eff dxy [1,5)                    0.5697       0.4989      +0.0708
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9263       0.9242      +0.0021
eff transition 1.1-1.7           0.8859       0.8826      +0.0033
eff endcap >1.7                  0.7561       0.7556      +0.0006
dup rate (pt sums)               0.1357       0.0499      +0.0858
dup rate (pt>0.9)                0.1467       0.0513      +0.0954
dup rate barrel                  0.1046       0.0097      +0.0948
dup rate transition              0.1554       0.0130      +0.1424
dup rate endcap                  0.1676       0.0846      +0.0831
fake rate (pt sums)              0.0725       0.0451      +0.0274
fake rate (pt>0.9)               0.0755       0.0455      +0.0300
fake rate barrel                 0.0998       0.0437      +0.0561
fake rate transition             0.1047       0.0459      +0.0588
fake rate endcap                 0.0527       0.0463      +0.0063
mean nhitOT                       6.605        6.514       +0.091
mean nhitOT barrel                9.812       10.151       -0.338
mean nhitOT transition            9.751       10.010       -0.259
mean nhitOT endcap                3.808        3.559       +0.248
n TC (fr denom)                  668902       610581       +58321
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_fs10.json
