A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_fs10n_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3272       0.3264      +0.0007
eff overall (pt>0.9)             0.8149       0.8136      +0.0014
eff vxy [0,1)                    0.8478       0.8473      +0.0005
eff vxy [1,5)                    0.8064       0.7731      +0.0332
eff vxy [5,10)                   0.7397       0.6530      +0.0868
eff vxy [10,30)                  0.7279       0.6291      +0.0989
eff dxy [0,1)                    0.8429       0.8342      +0.0087
eff dxy [1,5)                    0.5697       0.4989      +0.0708
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9258       0.9242      +0.0016
eff transition 1.1-1.7           0.8854       0.8826      +0.0028
eff endcap >1.7                  0.7563       0.7556      +0.0007
dup rate (pt sums)               0.1398       0.0499      +0.0899
dup rate (pt>0.9)                0.1513       0.0513      +0.1000
dup rate barrel                  0.1047       0.0097      +0.0950
dup rate transition              0.1570       0.0130      +0.1440
dup rate endcap                  0.1754       0.0846      +0.0908
fake rate (pt sums)              0.0727       0.0451      +0.0276
fake rate (pt>0.9)               0.0757       0.0455      +0.0302
fake rate barrel                 0.1009       0.0437      +0.0572
fake rate transition             0.1070       0.0459      +0.0611
fake rate endcap                 0.0521       0.0463      +0.0058
mean nhitOT                       6.580        6.514       +0.066
mean nhitOT barrel                9.801       10.151       -0.350
mean nhitOT transition            9.732       10.010       -0.278
mean nhitOT endcap                3.818        3.559       +0.258
n TC (fr denom)                  670996       610581       +60415
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_fs10n.json
