A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_fs10nw_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3282       0.3264      +0.0017
eff overall (pt>0.9)             0.8175       0.8136      +0.0040
eff vxy [0,1)                    0.8504       0.8473      +0.0031
eff vxy [1,5)                    0.8127       0.7731      +0.0396
eff vxy [5,10)                   0.7429       0.6530      +0.0899
eff vxy [10,30)                  0.7377       0.6291      +0.1087
eff dxy [0,1)                    0.8460       0.8342      +0.0118
eff dxy [1,5)                    0.5783       0.4989      +0.0794
eff dxy [5,10)                   0.2561       0.2281      +0.0281
eff dxy [10,30)                  0.0278       0.0470      -0.0192
eff barrel |eta|<1.1             0.9290       0.9242      +0.0048
eff transition 1.1-1.7           0.8899       0.8826      +0.0073
eff endcap >1.7                  0.7576       0.7556      +0.0020
dup rate (pt sums)               0.5778       0.0499      +0.5279
dup rate (pt>0.9)                0.6175       0.0513      +0.5662
dup rate barrel                  0.7009       0.0097      +0.6911
dup rate transition              0.7002       0.0130      +0.6872
dup rate endcap                  0.5231       0.0846      +0.4385
fake rate (pt sums)              0.0850       0.0451      +0.0399
fake rate (pt>0.9)               0.0878       0.0455      +0.0423
fake rate barrel                 0.1142       0.0437      +0.0705
fake rate transition             0.1182       0.0459      +0.0723
fake rate endcap                 0.0562       0.0463      +0.0099
mean nhitOT                       8.084        6.514       +1.570
mean nhitOT barrel               10.122       10.151       -0.028
mean nhitOT transition           10.033       10.010       +0.023
mean nhitOT endcap                5.807        3.559       +2.248
n TC (fr denom)                 1060793       610581      +450212
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_fs10nw.json
