A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_gM4D_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3268       0.3264      +0.0003
eff overall (pt>0.9)             0.8135       0.8136      -0.0001
eff vxy [0,1)                    0.8463       0.8473      -0.0010
eff vxy [1,5)                    0.8085       0.7731      +0.0353
eff vxy [5,10)                   0.7429       0.6530      +0.0899
eff vxy [10,30)                  0.7426       0.6291      +0.1136
eff dxy [0,1)                    0.8415       0.8342      +0.0073
eff dxy [1,5)                    0.5976       0.4989      +0.0987
eff dxy [5,10)                   0.2807       0.2281      +0.0526
eff dxy [10,30)                  0.0278       0.0470      -0.0192
eff barrel |eta|<1.1             0.9244       0.9242      +0.0002
eff transition 1.1-1.7           0.8834       0.8826      +0.0008
eff endcap >1.7                  0.7548       0.7556      -0.0008
dup rate (pt sums)               0.0607       0.0499      +0.0108
dup rate (pt>0.9)                0.0622       0.0513      +0.0109
dup rate barrel                  0.0146       0.0097      +0.0049
dup rate transition              0.0349       0.0130      +0.0219
dup rate endcap                  0.1014       0.0846      +0.0169
fake rate (pt sums)              0.1430       0.0451      +0.0979
fake rate (pt>0.9)               0.1372       0.0455      +0.0917
fake rate barrel                 0.2210       0.0437      +0.1773
fake rate transition             0.2021       0.0459      +0.1563
fake rate endcap                 0.0624       0.0463      +0.0160
mean nhitOT                       6.439        6.514       -0.075
mean nhitOT barrel                9.455       10.151       -0.695
mean nhitOT transition            9.382       10.010       -0.628
mean nhitOT endcap                3.541        3.559       -0.018
n TC (fr denom)                  695427       610581       +84846
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_gM4D.json
