A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_m4_30_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3269       0.3264      +0.0004
eff overall (pt>0.9)             0.8138       0.8136      +0.0003
eff vxy [0,1)                    0.8466       0.8473      -0.0007
eff vxy [1,5)                    0.8057       0.7731      +0.0325
eff vxy [5,10)                   0.7334       0.6530      +0.0804
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.8414       0.8342      +0.0071
eff dxy [1,5)                    0.5633       0.4989      +0.0644
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9252       0.9242      +0.0010
eff transition 1.1-1.7           0.8821       0.8826      -0.0005
eff endcap >1.7                  0.7555       0.7556      -0.0001
dup rate (pt sums)               0.0591       0.0499      +0.0092
dup rate (pt>0.9)                0.0607       0.0513      +0.0094
dup rate barrel                  0.0148       0.0097      +0.0051
dup rate transition              0.0277       0.0130      +0.0147
dup rate endcap                  0.0950       0.0846      +0.0104
fake rate (pt sums)              0.0466       0.0451      +0.0015
fake rate (pt>0.9)               0.0473       0.0455      +0.0018
fake rate barrel                 0.0517       0.0437      +0.0079
fake rate transition             0.0551       0.0459      +0.0092
fake rate endcap                 0.0427       0.0463      -0.0036
mean nhitOT                       6.292        6.514       -0.221
mean nhitOT barrel                9.789       10.151       -0.361
mean nhitOT transition            9.681       10.010       -0.329
mean nhitOT endcap                3.429        3.559       -0.130
n TC (fr denom)                  618435       610581        +7854
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_m4_30.json
