A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_m4d_30_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3267       0.3264      +0.0003
eff overall (pt>0.9)             0.8135       0.8136      -0.0000
eff vxy [0,1)                    0.8464       0.8473      -0.0009
eff vxy [1,5)                    0.8064       0.7731      +0.0332
eff vxy [5,10)                   0.7366       0.6530      +0.0836
eff vxy [10,30)                  0.7328       0.6291      +0.1038
eff dxy [0,1)                    0.8413       0.8342      +0.0071
eff dxy [1,5)                    0.5815       0.4989      +0.0826
eff dxy [5,10)                   0.2772       0.2281      +0.0491
eff dxy [10,30)                  0.0278       0.0470      -0.0192
eff barrel |eta|<1.1             0.9247       0.9242      +0.0006
eff transition 1.1-1.7           0.8826       0.8826      +0.0000
eff endcap >1.7                  0.7549       0.7556      -0.0007
dup rate (pt sums)               0.0593       0.0499      +0.0094
dup rate (pt>0.9)                0.0598       0.0513      +0.0085
dup rate barrel                  0.0151       0.0097      +0.0053
dup rate transition              0.0297       0.0130      +0.0167
dup rate endcap                  0.0935       0.0846      +0.0090
fake rate (pt sums)              0.0605       0.0451      +0.0153
fake rate (pt>0.9)               0.0610       0.0455      +0.0155
fake rate barrel                 0.0813       0.0437      +0.0375
fake rate transition             0.0686       0.0459      +0.0228
fake rate endcap                 0.0475       0.0463      +0.0011
mean nhitOT                       6.322        6.514       -0.192
mean nhitOT barrel                9.729       10.151       -0.421
mean nhitOT transition            9.650       10.010       -0.359
mean nhitOT endcap                3.452        3.559       -0.108
n TC (fr denom)                  629688       610581       +19107
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_m4d_30.json
