A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_t0n_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3268       0.3264      +0.0004
eff overall (pt>0.9)             0.8137       0.8136      +0.0001
eff vxy [0,1)                    0.8466       0.8473      -0.0008
eff vxy [1,5)                    0.8099       0.7731      +0.0367
eff vxy [5,10)                   0.7476       0.6530      +0.0946
eff vxy [10,30)                  0.7443       0.6291      +0.1152
eff dxy [0,1)                    0.8421       0.8342      +0.0079
eff dxy [1,5)                    0.6019       0.4989      +0.1030
eff dxy [5,10)                   0.2807       0.2281      +0.0526
eff dxy [10,30)                  0.0321       0.0470      -0.0150
eff barrel |eta|<1.1             0.9247       0.9242      +0.0006
eff transition 1.1-1.7           0.8839       0.8826      +0.0013
eff endcap >1.7                  0.7548       0.7556      -0.0008
dup rate (pt sums)               0.0596       0.0499      +0.0097
dup rate (pt>0.9)                0.0611       0.0513      +0.0098
dup rate barrel                  0.0147       0.0097      +0.0049
dup rate transition              0.0334       0.0130      +0.0204
dup rate endcap                  0.1010       0.0846      +0.0164
fake rate (pt sums)              0.1568       0.0451      +0.1117
fake rate (pt>0.9)               0.1498       0.0455      +0.1043
fake rate barrel                 0.2454       0.0437      +0.2017
fake rate transition             0.2171       0.0459      +0.1712
fake rate endcap                 0.0644       0.0463      +0.0181
mean nhitOT                       6.518        6.514       +0.005
mean nhitOT barrel                9.531       10.151       -0.620
mean nhitOT transition            9.432       10.010       -0.578
mean nhitOT endcap                3.557        3.559       -0.002
n TC (fr denom)                  707216       610581       +96635
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_eff/re_t0n.json
