A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_len/ab_notrim_noatt_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3255       0.3264      -0.0010
eff overall (pt>0.9)             0.8104       0.8136      -0.0032
eff vxy [0,1)                    0.8432       0.8473      -0.0041
eff vxy [1,5)                    0.7993       0.7731      +0.0261
eff vxy [5,10)                   0.7240       0.6530      +0.0710
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.8378       0.8342      +0.0036
eff dxy [1,5)                    0.5601       0.4989      +0.0612
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9220       0.9242      -0.0021
eff transition 1.1-1.7           0.8758       0.8826      -0.0068
eff endcap >1.7                  0.7527       0.7556      -0.0029
dup rate (pt sums)               0.0601       0.0499      +0.0102
dup rate (pt>0.9)                0.0620       0.0513      +0.0107
dup rate barrel                  0.0146       0.0097      +0.0049
dup rate transition              0.0246       0.0130      +0.0116
dup rate endcap                  0.0978       0.0846      +0.0132
fake rate (pt sums)              0.0479       0.0451      +0.0028
fake rate (pt>0.9)               0.0488       0.0455      +0.0033
fake rate barrel                 0.0535       0.0437      +0.0098
fake rate transition             0.0601       0.0459      +0.0142
fake rate endcap                 0.0431       0.0463      -0.0032
mean nhitOT                       6.393        6.514       -0.120
mean nhitOT barrel                9.885       10.151       -0.266
mean nhitOT transition            9.812       10.010       -0.197
mean nhitOT endcap                3.568        3.559       +0.009
n TC (fr denom)                  618024       610581        +7443
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_len/ab_notrim_noatt.json
