A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_len/lv_bk11b2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3264       0.3264      -0.0001
eff overall (pt>0.9)             0.8129       0.8136      -0.0007
eff vxy [0,1)                    0.8458       0.8473      -0.0015
eff vxy [1,5)                    0.8014       0.7731      +0.0283
eff vxy [5,10)                   0.7303       0.6530      +0.0773
eff vxy [10,30)                  0.7157       0.6291      +0.0866
eff dxy [0,1)                    0.8403       0.8342      +0.0061
eff dxy [1,5)                    0.5558       0.4989      +0.0569
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0235       0.0470      -0.0235
eff barrel |eta|<1.1             0.9240       0.9242      -0.0002
eff transition 1.1-1.7           0.8806       0.8826      -0.0020
eff endcap >1.7                  0.7550       0.7556      -0.0006
dup rate (pt sums)               0.0558       0.0499      +0.0059
dup rate (pt>0.9)                0.0571       0.0513      +0.0058
dup rate barrel                  0.0140       0.0097      +0.0042
dup rate transition              0.0226       0.0130      +0.0096
dup rate endcap                  0.0903       0.0846      +0.0058
fake rate (pt sums)              0.0470       0.0451      +0.0019
fake rate (pt>0.9)               0.0477       0.0455      +0.0022
fake rate barrel                 0.0521       0.0437      +0.0083
fake rate transition             0.0562       0.0459      +0.0103
fake rate endcap                 0.0430       0.0463      -0.0034
mean nhitOT                       6.293        6.514       -0.220
mean nhitOT barrel                9.805       10.151       -0.346
mean nhitOT transition            9.735       10.010       -0.275
mean nhitOT endcap                3.405        3.559       -0.154
n TC (fr denom)                  616637       610581        +6056
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_len/lv_bk11b2.json
