A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_len/lv_bk6_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3236       0.3264      -0.0029
eff overall (pt>0.9)             0.8050       0.8136      -0.0085
eff vxy [0,1)                    0.8378       0.8473      -0.0095
eff vxy [1,5)                    0.7908       0.7731      +0.0177
eff vxy [5,10)                   0.7114       0.6530      +0.0584
eff vxy [10,30)                  0.6928       0.6291      +0.0637
eff dxy [0,1)                    0.8313       0.8342      -0.0030
eff dxy [1,5)                    0.5408       0.4989      +0.0418
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9130       0.9242      -0.0111
eff transition 1.1-1.7           0.8676       0.8826      -0.0150
eff endcap >1.7                  0.7517       0.7556      -0.0039
dup rate (pt sums)               0.0544       0.0499      +0.0045
dup rate (pt>0.9)                0.0555       0.0513      +0.0042
dup rate barrel                  0.0135       0.0097      +0.0037
dup rate transition              0.0205       0.0130      +0.0074
dup rate endcap                  0.0884       0.0846      +0.0038
fake rate (pt sums)              0.0509       0.0451      +0.0058
fake rate (pt>0.9)               0.0523       0.0455      +0.0069
fake rate barrel                 0.0592       0.0437      +0.0155
fake rate transition             0.0641       0.0459      +0.0183
fake rate endcap                 0.0452       0.0463      -0.0011
mean nhitOT                       6.433        6.514       -0.080
mean nhitOT barrel                9.984       10.151       -0.166
mean nhitOT transition            9.914       10.010       -0.096
mean nhitOT endcap                3.511        3.559       -0.049
n TC (fr denom)                  616090       610581        +5509
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_len/lv_bk6.json
