A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_len/lv_tp0tl6_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3257       0.3264      -0.0007
eff overall (pt>0.9)             0.8111       0.8136      -0.0024
eff vxy [0,1)                    0.8440       0.8473      -0.0034
eff vxy [1,5)                    0.7993       0.7731      +0.0261
eff vxy [5,10)                   0.7240       0.6530      +0.0710
eff vxy [10,30)                  0.7165       0.6291      +0.0874
eff dxy [0,1)                    0.8384       0.8342      +0.0041
eff dxy [1,5)                    0.5601       0.4989      +0.0612
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9231       0.9242      -0.0011
eff transition 1.1-1.7           0.8773       0.8826      -0.0053
eff endcap >1.7                  0.7529       0.7556      -0.0027
dup rate (pt sums)               0.0549       0.0499      +0.0050
dup rate (pt>0.9)                0.0561       0.0513      +0.0048
dup rate barrel                  0.0137       0.0097      +0.0040
dup rate transition              0.0218       0.0130      +0.0087
dup rate endcap                  0.0889       0.0846      +0.0043
fake rate (pt sums)              0.0477       0.0451      +0.0026
fake rate (pt>0.9)               0.0485       0.0455      +0.0030
fake rate barrel                 0.0528       0.0437      +0.0091
fake rate transition             0.0577       0.0459      +0.0119
fake rate endcap                 0.0435       0.0463      -0.0028
mean nhitOT                       6.411        6.514       -0.103
mean nhitOT barrel                9.896       10.151       -0.254
mean nhitOT transition            9.829       10.010       -0.181
mean nhitOT endcap                3.543        3.559       -0.017
n TC (fr denom)                  616104       610581        +5523
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/recon_len/lv_tp0tl6.json
