A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/skeptic2/sk_lo_stack_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3263       0.3264      -0.0001
eff overall (pt>0.9)             0.8126       0.8136      -0.0009
eff vxy [0,1)                    0.8455       0.8473      -0.0018
eff vxy [1,5)                    0.8035       0.7731      +0.0304
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8401       0.8342      +0.0059
eff dxy [1,5)                    0.5612       0.4989      +0.0622
eff dxy [5,10)                   0.2526       0.2281      +0.0246
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9237       0.9242      -0.0004
eff transition 1.1-1.7           0.8801       0.8826      -0.0025
eff endcap >1.7                  0.7548       0.7556      -0.0008
dup rate (pt sums)               0.0551       0.0499      +0.0052
dup rate (pt>0.9)                0.0563       0.0513      +0.0050
dup rate barrel                  0.0138       0.0097      +0.0040
dup rate transition              0.0221       0.0130      +0.0090
dup rate endcap                  0.0892       0.0846      +0.0046
fake rate (pt sums)              0.0468       0.0451      +0.0017
fake rate (pt>0.9)               0.0476       0.0455      +0.0021
fake rate barrel                 0.0519       0.0437      +0.0081
fake rate transition             0.0557       0.0459      +0.0098
fake rate endcap                 0.0429       0.0463      -0.0034
mean nhitOT                       6.344        6.514       -0.169
mean nhitOT barrel                9.844       10.151       -0.306
mean nhitOT transition            9.781       10.010       -0.229
mean nhitOT endcap                3.462        3.559       -0.097
n TC (fr denom)                  616367       610581        +5786
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fanout5/skeptic2/sk_lo_stack.json
