hists                           eff     v15    v510   v1030     d15   d15 cnt     d510 |    nhB    nhT    nhE |    fake     dup |  dupWin   nhWin    nTC status
---------------------------------------------------------------------------------------------------------------------------------------------------------------
T_cb6                       0.81294 0.80424 0.72871 0.71895 0.56223   524/932   71/285 |  9.834  9.744  3.451 | 0.04744 0.05658 | 0.09527  5.6556 476381 pass
T_f5                        0.81281 0.80424 0.72871 0.71895 0.56223   524/932   71/285 |  9.839  9.755  3.456 | 0.04746 0.05650 | 0.09511  5.6640 476368 pass
T_flag                      0.81325 0.80424 0.72871 0.71895 0.56330   525/932   71/285 |  9.794  9.698  3.417 | 0.04743 0.05708 | 0.09623  5.6027 476528 pass
bt35                        0.81268 0.80353 0.72871 0.71977 0.56330   525/932   71/285 |  9.835  9.756  3.455 | 0.04754 0.05656 | 0.09526  5.6633 476410 FAIL:EFF
bt3                         0.81268 0.80353 0.72871 0.71895 0.56223   524/932   71/285 |  9.845  9.779  3.464 | 0.04771 0.05638 | 0.09494  5.6785 476400 FAIL:EFF
bt4                         0.81298 0.80424 0.72871 0.71977 0.56330   525/932   71/285 |  9.822  9.731  3.444 | 0.04741 0.05672 | 0.09552  5.6442 476432 pass
c10                         0.81303 0.80424 0.72871 0.71814 0.56223   524/932   71/285 |  9.823  9.732  3.442 | 0.04747 0.05674 | 0.09555  5.6409 476459 pass
c1                          0.81290 0.80424 0.72871 0.71895 0.56116   523/932   72/285 |  9.838  9.752  3.455 | 0.04743 0.05653 | 0.09519  5.6621 476388 FAIL:D15
c2                          0.81263 0.80353 0.72713 0.71895 0.56223   524/932   71/285 |  9.843  9.765  3.460 | 0.04753 0.05649 | 0.09511  5.6719 476378 FAIL:EFF
c3                          0.81250 0.80353 0.72713 0.71814 0.56116   523/932   71/285 |  9.847  9.770  3.463 | 0.04753 0.05646 | 0.09505  5.6755 476359 FAIL:EFF,D15
c4                          0.81254 0.80353 0.72713 0.71895 0.56223   524/932   71/285 |  9.852  9.777  3.467 | 0.04755 0.05638 | 0.09492  5.6817 476357 FAIL:EFF
c5                          0.81290 0.80424 0.72871 0.71895 0.56116   523/932   72/285 |  9.838  9.753  3.455 | 0.04744 0.05653 | 0.09516  5.6623 476372 FAIL:D15
c6                          0.81281 0.80424 0.72871 0.71895 0.56116   523/932   72/285 |  9.841  9.759  3.457 | 0.04744 0.05649 | 0.09505  5.6661 476369 FAIL:D15
c7                          0.81254 0.80353 0.72713 0.71814 0.56116   523/932   71/285 |  9.849  9.772  3.465 | 0.04755 0.05639 | 0.09494  5.6787 476357 FAIL:EFF,D15
c8                          0.81303 0.80424 0.72871 0.71814 0.56223   524/932   71/285 |  9.818  9.725  3.438 | 0.04744 0.05679 | 0.09565  5.6354 476464 pass
c9                          0.81307 0.80424 0.72871 0.71895 0.56223   524/932   72/285 |  9.825  9.735  3.442 | 0.04744 0.05671 | 0.09554  5.6419 476445 pass
cb1                         0.81281 0.80424 0.72871 0.71895 0.56116   523/932   72/285 |  9.844  9.764  3.459 | 0.04747 0.05643 | 0.09494  5.6695 476356 FAIL:D15
cb2                         0.81311 0.80141 0.72871 0.71814 0.56116   523/932   72/285 |  9.832  9.760  3.448 | 0.04752 0.05646 | 0.09503  5.6529 476407 FAIL:V15,D15
cb3                         0.81290 0.80141 0.72871 0.71732 0.56009   522/932   72/285 |  9.844  9.771  3.458 | 0.04754 0.05637 | 0.09483  5.6688 476396 FAIL:V15,D15
