A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_a_ref/t_Q_aud3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/protoA/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3029       0.3264      -0.0235
eff overall (pt>0.9)             0.7633       0.8136      -0.0502
eff vxy [0,1)                    0.7936       0.8473      -0.0537
eff vxy [1,5)                    0.7625       0.7731      -0.0106
eff vxy [5,10)                   0.7334       0.6530      +0.0804
eff vxy [10,30)                  0.7190       0.6291      +0.0899
eff dxy [0,1)                    0.7914       0.8342      -0.0428
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.8919       0.9242      -0.0323
eff transition 1.1-1.7           0.8533       0.8826      -0.0293
eff endcap >1.7                  0.6733       0.7556      -0.0823
dup rate (pt sums)               0.3221       0.0499      +0.2722
dup rate (pt>0.9)                0.3379       0.0513      +0.2866
dup rate barrel                  0.1903       0.0097      +0.1806
dup rate transition              0.3560       0.0130      +0.3430
dup rate endcap                  0.4677       0.0846      +0.3831
fake rate (pt sums)              0.4759       0.0451      +0.4308
fake rate (pt>0.9)               0.4757       0.0455      +0.4302
fake rate barrel                 0.6552       0.0437      +0.6115
fake rate transition             0.5177       0.0459      +0.4718
fake rate endcap                 0.2892       0.0463      +0.2428
mean nhitOT                       6.364        6.514       -0.149
mean nhitOT barrel                7.129       10.151       -3.021
mean nhitOT transition            7.292       10.010       -2.717
mean nhitOT endcap                5.234        3.559       +1.674
n TC (fr denom)                 1652903       610581     +1042322
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_a_ref/t_Q_aud3.json
