A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_a_ref/t_g_e_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/protoA/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3230       0.3264      -0.0035
eff overall (pt>0.9)             0.8042       0.8136      -0.0093
eff vxy [0,1)                    0.8372       0.8473      -0.0101
eff vxy [1,5)                    0.7852       0.7731      +0.0120
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8314       0.8342      -0.0028
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9112       0.9242      -0.0129
eff transition 1.1-1.7           0.8736       0.8826      -0.0090
eff endcap >1.7                  0.7487       0.7556      -0.0069
dup rate (pt sums)               0.0460       0.0499      -0.0039
dup rate (pt>0.9)                0.0463       0.0513      -0.0050
dup rate barrel                  0.0126       0.0097      +0.0029
dup rate transition              0.0174       0.0130      +0.0044
dup rate endcap                  0.0730       0.0846      -0.0116
fake rate (pt sums)              0.0556       0.0451      +0.0105
fake rate (pt>0.9)               0.0565       0.0455      +0.0110
fake rate barrel                 0.0624       0.0437      +0.0187
fake rate transition             0.0709       0.0459      +0.0250
fake rate endcap                 0.0490       0.0463      +0.0026
mean nhitOT                       6.535        6.514       +0.021
mean nhitOT barrel               10.056       10.151       -0.095
mean nhitOT transition           10.007       10.010       -0.003
mean nhitOT endcap                3.613        3.559       +0.054
n TC (fr denom)                  613994       610581        +3413
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_a_ref/t_g_e.json
