A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_a_ref/t_k_a_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/protoA/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3233       0.3264      -0.0031
eff overall (pt>0.9)             0.8051       0.8136      -0.0084
eff vxy [0,1)                    0.8382       0.8473      -0.0092
eff vxy [1,5)                    0.7901       0.7731      +0.0170
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8326       0.8342      -0.0016
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9110       0.9242      -0.0132
eff transition 1.1-1.7           0.8753       0.8826      -0.0073
eff endcap >1.7                  0.7505       0.7556      -0.0051
dup rate (pt sums)               0.0455       0.0499      -0.0044
dup rate (pt>0.9)                0.0460       0.0513      -0.0053
dup rate barrel                  0.0133       0.0097      +0.0035
dup rate transition              0.0176       0.0130      +0.0046
dup rate endcap                  0.0721       0.0846      -0.0125
fake rate (pt sums)              0.0571       0.0451      +0.0120
fake rate (pt>0.9)               0.0571       0.0455      +0.0116
fake rate barrel                 0.0642       0.0437      +0.0205
fake rate transition             0.0745       0.0459      +0.0286
fake rate endcap                 0.0481       0.0463      +0.0017
mean nhitOT                       6.532        6.514       +0.018
mean nhitOT barrel               10.042       10.151       -0.109
mean nhitOT transition            9.985       10.010       -0.025
mean nhitOT endcap                3.611        3.559       +0.051
n TC (fr denom)                  615718       610581        +5137
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_a_ref/t_k_a.json
