A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_b_ref/t_B3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/protoB/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3264       0.3264      -0.0000
eff overall (pt>0.9)             0.8125       0.8136      -0.0011
eff vxy [0,1)                    0.8456       0.8473      -0.0018
eff vxy [1,5)                    0.7986       0.7731      +0.0254
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8397       0.8342      +0.0055
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9206       0.9242      -0.0036
eff transition 1.1-1.7           0.8849       0.8826      +0.0023
eff endcap >1.7                  0.7554       0.7556      -0.0002
dup rate (pt sums)               0.0762       0.0499      +0.0263
dup rate (pt>0.9)                0.0782       0.0513      +0.0269
dup rate barrel                  0.0342       0.0097      +0.0245
dup rate transition              0.0515       0.0130      +0.0384
dup rate endcap                  0.1098       0.0846      +0.0252
fake rate (pt sums)              0.0563       0.0451      +0.0112
fake rate (pt>0.9)               0.0579       0.0455      +0.0124
fake rate barrel                 0.0656       0.0437      +0.0219
fake rate transition             0.0775       0.0459      +0.0316
fake rate endcap                 0.0480       0.0463      +0.0016
mean nhitOT                       6.447        6.514       -0.067
mean nhitOT barrel                9.918       10.151       -0.232
mean nhitOT transition            9.832       10.010       -0.178
mean nhitOT endcap                3.570        3.559       +0.010
n TC (fr denom)                  630221       610581       +19640
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_b_ref/t_B3.json
