A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_b_ref/t_C6_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/protoB/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3244       0.3264      -0.0021
eff overall (pt>0.9)             0.8067       0.8136      -0.0069
eff vxy [0,1)                    0.8398       0.8473      -0.0075
eff vxy [1,5)                    0.7901       0.7731      +0.0170
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8340       0.8342      -0.0002
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9129       0.9242      -0.0112
eff transition 1.1-1.7           0.8753       0.8826      -0.0073
eff endcap >1.7                  0.7525       0.7556      -0.0031
dup rate (pt sums)               0.0528       0.0499      +0.0029
dup rate (pt>0.9)                0.0531       0.0513      +0.0018
dup rate barrel                  0.0127       0.0097      +0.0030
dup rate transition              0.0184       0.0130      +0.0054
dup rate endcap                  0.0852       0.0846      +0.0006
fake rate (pt sums)              0.0598       0.0451      +0.0147
fake rate (pt>0.9)               0.0617       0.0455      +0.0162
fake rate barrel                 0.0741       0.0437      +0.0304
fake rate transition             0.0828       0.0459      +0.0370
fake rate endcap                 0.0487       0.0463      +0.0024
mean nhitOT                       6.453        6.514       -0.061
mean nhitOT barrel                9.951       10.151       -0.199
mean nhitOT transition            9.892       10.010       -0.117
mean nhitOT endcap                3.536        3.559       -0.023
n TC (fr denom)                  623296       610581       +12715
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_b_ref/t_C6.json
