A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_b_ref/t_E3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/protoB/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3246       0.3264      -0.0018
eff overall (pt>0.9)             0.8078       0.8136      -0.0057
eff vxy [0,1)                    0.8413       0.8473      -0.0060
eff vxy [1,5)                    0.7823       0.7731      +0.0092
eff vxy [5,10)                   0.7129       0.6530      +0.0599
eff vxy [10,30)                  0.7173       0.6291      +0.0882
eff dxy [0,1)                    0.8345       0.8342      +0.0003
eff dxy [1,5)                    0.5601       0.4989      +0.0612
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9151       0.9242      -0.0091
eff transition 1.1-1.7           0.8773       0.8826      -0.0053
eff endcap >1.7                  0.7524       0.7556      -0.0032
dup rate (pt sums)               0.0528       0.0499      +0.0028
dup rate (pt>0.9)                0.0532       0.0513      +0.0019
dup rate barrel                  0.0129       0.0097      +0.0031
dup rate transition              0.0181       0.0130      +0.0051
dup rate endcap                  0.0850       0.0846      +0.0004
fake rate (pt sums)              0.0482       0.0451      +0.0031
fake rate (pt>0.9)               0.0490       0.0455      +0.0035
fake rate barrel                 0.0543       0.0437      +0.0106
fake rate transition             0.0610       0.0459      +0.0151
fake rate endcap                 0.0427       0.0463      -0.0036
mean nhitOT                       6.387        6.514       -0.127
mean nhitOT barrel                9.915       10.151       -0.236
mean nhitOT transition            9.864       10.010       -0.145
mean nhitOT endcap                3.482        3.559       -0.078
n TC (fr denom)                  615392       610581        +4811
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_b_ref/t_E3.json
