A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_b_ref/t_F7_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/protoB/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3241       0.3264      -0.0023
eff overall (pt>0.9)             0.8078       0.8136      -0.0058
eff vxy [0,1)                    0.8408       0.8473      -0.0066
eff vxy [1,5)                    0.7929       0.7731      +0.0198
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8351       0.8342      +0.0008
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9136       0.9242      -0.0106
eff transition 1.1-1.7           0.8773       0.8826      -0.0053
eff endcap >1.7                  0.7537       0.7556      -0.0019
dup rate (pt sums)               0.0534       0.0499      +0.0035
dup rate (pt>0.9)                0.0538       0.0513      +0.0025
dup rate barrel                  0.0130       0.0097      +0.0033
dup rate transition              0.0186       0.0130      +0.0056
dup rate endcap                  0.0859       0.0846      +0.0013
fake rate (pt sums)              0.0492       0.0451      +0.0041
fake rate (pt>0.9)               0.0502       0.0455      +0.0047
fake rate barrel                 0.0587       0.0437      +0.0150
fake rate transition             0.0623       0.0459      +0.0164
fake rate endcap                 0.0420       0.0463      -0.0043
mean nhitOT                       6.461        6.514       -0.053
mean nhitOT barrel               10.022       10.151       -0.129
mean nhitOT transition            9.998       10.010       -0.012
mean nhitOT endcap                3.524        3.559       -0.036
n TC (fr denom)                  614111       610581        +3530
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_b_ref/t_F7.json
