A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_b_ref/t_H4_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/protoB/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3253       0.3264      -0.0011
eff overall (pt>0.9)             0.8097       0.8136      -0.0038
eff vxy [0,1)                    0.8431       0.8473      -0.0042
eff vxy [1,5)                    0.7866       0.7731      +0.0134
eff vxy [5,10)                   0.7161       0.6530      +0.0631
eff vxy [10,30)                  0.7173       0.6291      +0.0882
eff dxy [0,1)                    0.8365       0.8342      +0.0022
eff dxy [1,5)                    0.5601       0.4989      +0.0612
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9172       0.9242      -0.0070
eff transition 1.1-1.7           0.8809       0.8826      -0.0018
eff endcap >1.7                  0.7536       0.7556      -0.0020
dup rate (pt sums)               0.0528       0.0499      +0.0029
dup rate (pt>0.9)                0.0532       0.0513      +0.0019
dup rate barrel                  0.0129       0.0097      +0.0032
dup rate transition              0.0181       0.0130      +0.0051
dup rate endcap                  0.0851       0.0846      +0.0006
fake rate (pt sums)              0.0501       0.0451      +0.0050
fake rate (pt>0.9)               0.0512       0.0455      +0.0057
fake rate barrel                 0.0567       0.0437      +0.0129
fake rate transition             0.0651       0.0459      +0.0192
fake rate endcap                 0.0441       0.0463      -0.0022
mean nhitOT                       6.386        6.514       -0.128
mean nhitOT barrel                9.901       10.151       -0.249
mean nhitOT transition            9.845       10.010       -0.165
mean nhitOT endcap                3.487        3.559       -0.072
n TC (fr denom)                  617025       610581        +6444
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_b_ref/t_H4.json
