A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_b_ref/t_I4_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/protoB/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3248       0.3264      -0.0017
eff overall (pt>0.9)             0.8085       0.8136      -0.0050
eff vxy [0,1)                    0.8419       0.8473      -0.0054
eff vxy [1,5)                    0.7866       0.7731      +0.0134
eff vxy [5,10)                   0.7161       0.6530      +0.0631
eff vxy [10,30)                  0.7173       0.6291      +0.0882
eff dxy [0,1)                    0.8354       0.8342      +0.0011
eff dxy [1,5)                    0.5601       0.4989      +0.0612
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9154       0.9242      -0.0088
eff transition 1.1-1.7           0.8798       0.8826      -0.0028
eff endcap >1.7                  0.7528       0.7556      -0.0028
dup rate (pt sums)               0.0520       0.0499      +0.0021
dup rate (pt>0.9)                0.0524       0.0513      +0.0011
dup rate barrel                  0.0129       0.0097      +0.0032
dup rate transition              0.0181       0.0130      +0.0050
dup rate endcap                  0.0836       0.0846      -0.0010
fake rate (pt sums)              0.0483       0.0451      +0.0032
fake rate (pt>0.9)               0.0490       0.0455      +0.0035
fake rate barrel                 0.0545       0.0437      +0.0107
fake rate transition             0.0601       0.0459      +0.0143
fake rate endcap                 0.0429       0.0463      -0.0034
mean nhitOT                       6.414        6.514       -0.099
mean nhitOT barrel                9.942       10.151       -0.208
mean nhitOT transition            9.887       10.010       -0.122
mean nhitOT endcap                3.511        3.559       -0.048
n TC (fr denom)                  614666       610581        +4085
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_b_ref/t_I4.json
