t_c1_curve.root  (300 evts)
non-pT3-class rows/evt 1696.1 of which harness-duplicate 63.6 (0.0375)

T        rows/ev   distinct rows/dist   dupRows   dupFrac  fakeFrac
2.0       2523.5      711.0      3.55    1146.9    0.4545    0.4977
3.0       2008.6      705.1      2.85    1131.0    0.5631    0.3774
4.0       1617.1      693.1      2.33    1094.8    0.6770    0.2501
5.0       1346.2      670.8      2.01    1031.4    0.7661    0.1488
6.0       1132.7      628.4      1.80     935.0    0.8255    0.0802
6.5       1027.1      590.9      1.74     869.4    0.8465    0.0572
7.0        912.3      537.5      1.70     788.6    0.8644    0.0403
7.5        782.9      466.8      1.68     690.9    0.8826    0.0278
8.0        642.8      384.4      1.67     580.3    0.9027    0.0193
8.5        503.6      303.3      1.66     464.8    0.9229    0.0134
9.0        373.3      230.1      1.62     350.9    0.9399    0.0093
9.5        257.1      165.4      1.55     244.7    0.9520    0.0066
10.0       159.7      108.9      1.47     153.1    0.9587    0.0046
11.0        39.2       31.1      1.26      37.6    0.9610    0.0024
12.0         3.9        3.5      1.10       3.8    0.9626    0.0026

LST reference (same measure on its own delivered pT3 rows) is printed by
gc_dupdiag_lst.py; the target is rows/distinct near 1.0.
