=== t_x_a75_n1.root  (300 evts, TCs with pt > 0.9) ===
class               rows/ev   fakes/ev   fakefrc    dups/ev    dupfrc
carried/type8         607.9      30.31    0.0499      57.67    0.0949
attach-pT5/type7      534.4       4.01    0.0075       3.46    0.0065
chainTC/type4         328.6      30.60    0.0931       8.99    0.0273
attach-pT3/type5       77.7       5.15    0.0662       1.98    0.0255
chainTC/type9          26.2       8.70    0.3325       2.90    0.1108
TOTAL                1574.8      78.77    0.0500      75.00    0.0476

=== t_x_a9_n1.root  (300 evts, TCs with pt > 0.9) ===
class               rows/ev   fakes/ev   fakefrc    dups/ev    dupfrc
carried/type8         612.7      30.60    0.0499      59.05    0.0964
attach-pT5/type7      534.4       4.01    0.0075       3.62    0.0068
chainTC/type4         328.6      30.60    0.0931       9.27    0.0282
attach-pT3/type5       59.5       1.60    0.0270       2.00    0.0336
chainTC/type9          26.2       8.70    0.3325       3.32    0.1269
TOTAL                1561.4      75.51    0.0484      77.26    0.0495

