A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_hp_a-3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3229       0.3264      -0.0036
eff overall (pt>0.9)             0.7494       0.8136      -0.0642
eff vxy [0,1)                    0.7874       0.8473      -0.0600
eff vxy [1,5)                    0.6818       0.7731      -0.0913
eff vxy [5,10)                   0.6667       0.6530      +0.0137
eff vxy [10,30)                  0.6429       0.6291      +0.0138
eff dxy [0,1)                    0.7772       0.8342      -0.0570
eff dxy [1,5)                    0.3684       0.4989      -0.1305
eff dxy [5,10)                   0.0000       0.2281      -0.2281
eff dxy [10,30)                  0.0000       0.0470      -0.0470
eff barrel |eta|<1.1             0.9065       0.9242      -0.0177
eff transition 1.1-1.7           0.8594       0.8826      -0.0232
eff endcap >1.7                  0.6606       0.7556      -0.0950
dup rate (pt sums)               0.3660       0.0499      +0.3161
dup rate (pt>0.9)                0.3852       0.0513      +0.3339
dup rate barrel                  0.2395       0.0097      +0.2297
dup rate transition              0.3943       0.0130      +0.3813
dup rate endcap                  0.5103       0.0846      +0.4257
fake rate (pt sums)              0.3955       0.0451      +0.3504
fake rate (pt>0.9)               0.3977       0.0455      +0.3522
fake rate barrel                 0.5819       0.0437      +0.5382
fake rate transition             0.4612       0.0459      +0.4153
fake rate endcap                 0.2095       0.0463      +0.1631
mean nhitOT                       6.338        6.514       -0.176
mean nhitOT barrel                7.294       10.151       -2.856
mean nhitOT transition            7.406       10.010       -2.604
mean nhitOT endcap                5.060        3.559       +1.501
n TC (fr denom)                   18580       610581      -592001
n sim (ef denom)                   1019        63603       -62584
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_hp_a-3.json
