A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_hp_a3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3356       0.3264      +0.0092
eff overall (pt>0.9)             0.7674       0.8136      -0.0461
eff vxy [0,1)                    0.8017       0.8473      -0.0456
eff vxy [1,5)                    0.7500       0.7731      -0.0231
eff vxy [5,10)                   0.6667       0.6530      +0.0137
eff vxy [10,30)                  0.6429       0.6291      +0.0138
eff dxy [0,1)                    0.7966       0.8342      -0.0376
eff dxy [1,5)                    0.3684       0.4989      -0.1305
eff dxy [5,10)                   0.0000       0.2281      -0.2281
eff dxy [10,30)                  0.0000       0.0470      -0.0470
eff barrel |eta|<1.1             0.9281       0.9242      +0.0039
eff transition 1.1-1.7           0.8906       0.8826      +0.0080
eff endcap >1.7                  0.6727       0.7556      -0.0829
dup rate (pt sums)               0.5107       0.0499      +0.4608
dup rate (pt>0.9)                0.5429       0.0513      +0.4916
dup rate barrel                  0.4476       0.0097      +0.4379
dup rate transition              0.5742       0.0130      +0.5612
dup rate endcap                  0.5825       0.0846      +0.4980
fake rate (pt sums)              0.1243       0.0451      +0.0792
fake rate (pt>0.9)               0.1282       0.0455      +0.0827
fake rate barrel                 0.1823       0.0437      +0.1386
fake rate transition             0.1908       0.0459      +0.1450
fake rate endcap                 0.0805       0.0463      +0.0342
mean nhitOT                       6.373        6.514       -0.141
mean nhitOT barrel                8.434       10.151       -1.717
mean nhitOT transition            7.980       10.010       -2.030
mean nhitOT endcap                4.804        3.559       +1.245
n TC (fr denom)                   13071       610581      -597510
n sim (ef denom)                   1019        63603       -62584
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_hp_a3.json
