A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_q_a6_L_rpo_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3246       0.3264      -0.0018
eff overall (pt>0.9)             0.8083       0.8136      -0.0052
eff vxy [0,1)                    0.8415       0.8473      -0.0059
eff vxy [1,5)                    0.7929       0.7731      +0.0198
eff vxy [5,10)                   0.7287       0.6530      +0.0757
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8358       0.8342      +0.0016
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9152       0.9242      -0.0090
eff transition 1.1-1.7           0.8766       0.8826      -0.0060
eff endcap >1.7                  0.7539       0.7556      -0.0017
dup rate (pt sums)               0.0786       0.0499      +0.0287
dup rate (pt>0.9)                0.0787       0.0513      +0.0274
dup rate barrel                  0.0294       0.0097      +0.0196
dup rate transition              0.0477       0.0130      +0.0347
dup rate endcap                  0.1142       0.0846      +0.0297
fake rate (pt sums)              0.0600       0.0451      +0.0149
fake rate (pt>0.9)               0.0612       0.0455      +0.0157
fake rate barrel                 0.0680       0.0437      +0.0243
fake rate transition             0.0901       0.0459      +0.0442
fake rate endcap                 0.0488       0.0463      +0.0025
mean nhitOT                       6.465        6.514       -0.049
mean nhitOT barrel                9.974       10.151       -0.176
mean nhitOT transition            9.829       10.010       -0.181
mean nhitOT endcap                3.588        3.559       +0.029
n TC (fr denom)                  631935       610581       +21354
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_q_a6_L_rpo.json
