A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_q_a75_L_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3227       0.3264      -0.0037
eff overall (pt>0.9)             0.8051       0.8136      -0.0085
eff vxy [0,1)                    0.8380       0.8473      -0.0093
eff vxy [1,5)                    0.7901       0.7731      +0.0170
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8324       0.8342      -0.0018
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9098       0.9242      -0.0144
eff transition 1.1-1.7           0.8746       0.8826      -0.0080
eff endcap >1.7                  0.7519       0.7556      -0.0037
dup rate (pt sums)               0.0644       0.0499      +0.0145
dup rate (pt>0.9)                0.0660       0.0513      +0.0147
dup rate barrel                  0.0246       0.0097      +0.0149
dup rate transition              0.0413       0.0130      +0.0283
dup rate endcap                  0.0953       0.0846      +0.0107
fake rate (pt sums)              0.0501       0.0451      +0.0050
fake rate (pt>0.9)               0.0507       0.0455      +0.0052
fake rate barrel                 0.0582       0.0437      +0.0145
fake rate transition             0.0649       0.0459      +0.0190
fake rate endcap                 0.0425       0.0463      -0.0038
mean nhitOT                       6.507        6.514       -0.006
mean nhitOT barrel               10.064       10.151       -0.086
mean nhitOT transition            9.982       10.010       -0.027
mean nhitOT endcap                3.597        3.559       +0.037
n TC (fr denom)                  615394       610581        +4813
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_q_a75_L.json
