A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_q_a75_L_n2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3227       0.3264      -0.0038
eff overall (pt>0.9)             0.8049       0.8136      -0.0087
eff vxy [0,1)                    0.8378       0.8473      -0.0096
eff vxy [1,5)                    0.7901       0.7731      +0.0170
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8322       0.8342      -0.0020
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9096       0.9242      -0.0146
eff transition 1.1-1.7           0.8741       0.8826      -0.0085
eff endcap >1.7                  0.7518       0.7556      -0.0038
dup rate (pt sums)               0.0517       0.0499      +0.0018
dup rate (pt>0.9)                0.0523       0.0513      +0.0010
dup rate barrel                  0.0152       0.0097      +0.0054
dup rate transition              0.0225       0.0130      +0.0095
dup rate endcap                  0.0809       0.0846      -0.0037
fake rate (pt sums)              0.0500       0.0451      +0.0049
fake rate (pt>0.9)               0.0506       0.0455      +0.0051
fake rate barrel                 0.0583       0.0437      +0.0146
fake rate transition             0.0649       0.0459      +0.0190
fake rate endcap                 0.0424       0.0463      -0.0040
mean nhitOT                       6.511        6.514       -0.002
mean nhitOT barrel               10.086       10.151       -0.064
mean nhitOT transition           10.027       10.010       +0.017
mean nhitOT endcap                3.577        3.559       +0.017
n TC (fr denom)                  610982       610581         +401
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_q_a75_L_n2.json
