A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_u_n1o_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3268       0.3264      +0.0003
eff overall (pt>0.9)             0.8008       0.8136      -0.0128
eff vxy [0,1)                    0.8339       0.8473      -0.0134
eff vxy [1,5)                    0.7721       0.7731      -0.0011
eff vxy [5,10)                   0.7273       0.6530      +0.0743
eff vxy [10,30)                  0.6923       0.6291      +0.0632
eff dxy [0,1)                    0.8303       0.8342      -0.0039
eff dxy [1,5)                    0.4531       0.4989      -0.0458
eff dxy [5,10)                   0.1875       0.2281      -0.0406
eff dxy [10,30)                  0.0238       0.0470      -0.0232
eff barrel |eta|<1.1             0.9084       0.9242      -0.0157
eff transition 1.1-1.7           0.8784       0.8826      -0.0042
eff endcap >1.7                  0.7399       0.7556      -0.0157
dup rate (pt sums)               0.0470       0.0499      -0.0029
dup rate (pt>0.9)                0.0468       0.0513      -0.0045
dup rate barrel                  0.0112       0.0097      +0.0014
dup rate transition              0.0146       0.0130      +0.0015
dup rate endcap                  0.0763       0.0846      -0.0083
fake rate (pt sums)              0.0463       0.0451      +0.0012
fake rate (pt>0.9)               0.0479       0.0455      +0.0024
fake rate barrel                 0.0569       0.0437      +0.0132
fake rate transition             0.0613       0.0459      +0.0154
fake rate endcap                 0.0390       0.0463      -0.0074
mean nhitOT                       6.580        6.514       +0.066
mean nhitOT barrel               10.065       10.151       -0.085
mean nhitOT transition            9.992       10.010       -0.018
mean nhitOT endcap                3.625        3.559       +0.066
n TC (fr denom)                   73781       610581      -536800
n sim (ef denom)                   8584        63603       -55019
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_u_n1o.json
