A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_v_m3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3234       0.3264      -0.0031
eff overall (pt>0.9)             0.7931       0.8136      -0.0204
eff vxy [0,1)                    0.8257       0.8473      -0.0217
eff vxy [1,5)                    0.7628       0.7731      -0.0104
eff vxy [5,10)                   0.7273       0.6530      +0.0743
eff vxy [10,30)                  0.6923       0.6291      +0.0632
eff dxy [0,1)                    0.8224       0.8342      -0.0118
eff dxy [1,5)                    0.4531       0.4989      -0.0458
eff dxy [5,10)                   0.1875       0.2281      -0.0406
eff dxy [10,30)                  0.0238       0.0470      -0.0232
eff barrel |eta|<1.1             0.8965       0.9242      -0.0277
eff transition 1.1-1.7           0.8687       0.8826      -0.0139
eff endcap >1.7                  0.7367       0.7556      -0.0189
dup rate (pt sums)               0.1144       0.0499      +0.0644
dup rate (pt>0.9)                0.1172       0.0513      +0.0659
dup rate barrel                  0.0789       0.0097      +0.0691
dup rate transition              0.1195       0.0130      +0.1064
dup rate endcap                  0.1376       0.0846      +0.0530
fake rate (pt sums)              0.0496       0.0451      +0.0045
fake rate (pt>0.9)               0.0515       0.0455      +0.0060
fake rate barrel                 0.0616       0.0437      +0.0179
fake rate transition             0.0681       0.0459      +0.0223
fake rate endcap                 0.0408       0.0463      -0.0056
mean nhitOT                       6.560        6.514       +0.047
mean nhitOT barrel                9.964       10.151       -0.186
mean nhitOT transition            9.782       10.010       -0.228
mean nhitOT endcap                3.701        3.559       +0.141
n TC (fr denom)                   75977       610581      -534604
n sim (ef denom)                   8584        63603       -55019
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_v_m3.json
