A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_w_m2o_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3200       0.3264      -0.0064
eff overall (pt>0.9)             0.7982       0.8136      -0.0154
eff vxy [0,1)                    0.8307       0.8473      -0.0166
eff vxy [1,5)                    0.7852       0.7731      +0.0120
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8256       0.8342      -0.0086
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.8998       0.9242      -0.0244
eff transition 1.1-1.7           0.8673       0.8826      -0.0153
eff endcap >1.7                  0.7476       0.7556      -0.0080
dup rate (pt sums)               0.1064       0.0499      +0.0564
dup rate (pt>0.9)                0.1080       0.0513      +0.0567
dup rate barrel                  0.0795       0.0097      +0.0697
dup rate transition              0.1134       0.0130      +0.1003
dup rate endcap                  0.1218       0.0846      +0.0373
fake rate (pt sums)              0.0577       0.0451      +0.0126
fake rate (pt>0.9)               0.0596       0.0455      +0.0141
fake rate barrel                 0.0741       0.0437      +0.0304
fake rate transition             0.0742       0.0459      +0.0283
fake rate endcap                 0.0473       0.0463      +0.0010
mean nhitOT                       6.505        6.514       -0.009
mean nhitOT barrel                9.941       10.151       -0.209
mean nhitOT transition            9.824       10.010       -0.185
mean nhitOT endcap                3.637        3.559       +0.078
n TC (fr denom)                  628956       610581       +18375
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_w_m2o.json
